leadId,companyName,region,city,cig,amount,object,category,awardDate,officialSource,winnerIdentified,phone,email,website,actionable,tier,insuranceNeed,estimateKind,reviewer,reviewed_at,notes
cmqi64p6d000p2qzydw0am9rb,NAPOLI OBIETTIVO VALORE SRL,Campania,,9399303635,154735187.0,"AFFIDAMENTO IN CONCESSIONE DELLA PROGETTAZIONE, REALIZZAZIONE E GESTIONE DI UNA INFRASTRUTTURA TECNOLOGICA PER L'ENTE E LA CITTADINANZA E DEI SERVIZI DI GESTIONE DELLE ENTRATE TRIBUTARIE ED EXTRATRIBU",NON_CLASSIFICATO,,True,True,081 19758372,,https://www.napoliobiettivovalore.it/?ente=F839,False,NOT_ACTIONABLE,NOT_FOUND,ESTIMATE,,,
cmqi64pi900652qzyddp0jpk8,SANOFI AVENTIS SPA,Campania,,9316515763,72085622.19,DUPILUMAB,NON_CLASSIFICATO,,True,True,,,,False,NOT_ACTIONABLE,NOT_FOUND,ESTIMATE,,,
cmqi64pit006d2qzyxv2hbghx,CONSORZIO STABILE MEDIL S.C.A.R.L.,Campania,CASERTA,A06747790A,20903464.42,SERVIZIO DI MANUTENZIONE INTEGRATA DELLA RETE STRADALE REGIONALE DEL PIANO TRIENNALE 2022-2024 DI CUI ALLA D.G.R. N. 335 DEL 28/06/2022. LOTTO 3 - PROVINCIA DI CASERTA,GARE_MEDIUM,,True,True,,,,False,NOT_ACTIONABLE,NOT_FOUND,ESTIMATE,,,
cmqi64pbf00302qzy58egmrl1,CONSORZIO STABILE MEDIL S.C.A.R.L.,Campania,,9340742026,20559027.59,"PROCEDURA APERTA, SOPRA SOGLIA COMUNITARIA, AI SENSI DELL'ART. 60 D.LGS. 50/2016 E SS.MM.II, SUDDIVISA IN 5 LOTTI, CON IL CRITERIO DELL'OFFERTA ECONOMICAMENTE PIÙ VANTAGGIOSA, INDIVIDUATA SULLA BASE D",NON_CLASSIFICATO,,True,True,,,,False,NOT_ACTIONABLE,NOT_FOUND,ESTIMATE,,,
cmqi64p99001x2qzyugl381cw,CONSORZIO STABILE TE.CO. S.P.A.,Campania,,9358604455,17891074.72,PROCEDURA TELEMATICA APERTA PER L'AGGIUDICAZIONE DELLA PROGETTAZIONE ESECUTIVA E DELLA REALIZZAZIONE DEI LAVORI RELATIVI ALLA COSTRUZIONE DI UN IMPIANTO PER IL TRATTAMENTO DELLA FRAZIONE ORGANICA PROV,NON_CLASSIFICATO,,True,True,,,,False,NOT_ACTIONABLE,NOT_FOUND,ESTIMATE,,,
cmqi64p9d001z2qzythuy3ukl,CUBE,Campania,,935815951B,16986913.45,"IMPIANTO DI TRATTAMENTO DELLA FRAZIONE ORGANICA PROVENIENTE DALLA RACCOLTA DIFFERENZIATA DEI RSU DA REALIZZARE NEL COMUNE DI MARIGLIANO, LOCALITÀ BOSCOFANGONE (NA).",NON_CLASSIFICATO,,True,True,,,,False,NOT_ACTIONABLE,NOT_FOUND,ESTIMATE,,,
cmqi64pa1002a2qzyqu8n8ayv,FRATELLI GENTILE F & R SRL,Campania,NAPOLI,923752679A,16207783.06,"SERVIZIO DI CARATTERIZZAZIONE, SMASSAMENTO E TRASPORTO DI RIFIUTI STOCCATI IN BALLE NEL SITO DI LO SPESSO, NEL COMUNE DI VILLA LITERNO (CE), PRESSO L'IMPIANTO DI TRATTAMENTO ALL'INTERNO DELLO STIR DI ",GARE_MEDIUM,,True,True,,,,False,NOT_ACTIONABLE,NOT_FOUND,ESTIMATE,,,
cmqi64p92001t2qzyqvztesvs,R.C.M. COSTRUZIONI,Campania,NAPOLI,93230475C4,15209999.17,COMPLETAMENTO DEL CONSOLIDAMENTO E RAFFORZAMENTO DELLA BANCHINA DI LEVANTE MOLO PISACANE,GARE_MEDIUM,,True,True,,,,False,NOT_ACTIONABLE,NOT_FOUND,ESTIMATE,,,
cmqi64p8q001o2qzy0lfakqf3,EDIL ALTA S.R.L.,Campania,ERCOLANO,93769231A7,9589867.6,COMPRENSORIO DEPURATIVO MEDIO SARNO SUB 2 - SUB 3 - IMPIANTO DI DEPURAZIONE DI ANGRI - PROGETTO DI ADEGUAMENTO LOTTO 1 - COD. INT. 7321,GARE_MEDIUM,,True,True,,,,False,NOT_ACTIONABLE,NOT_FOUND,ESTIMATE,,,
cmqi64pjr006p2qzyula2qe5z,LE.DA APPALTI E COSTRUZIONI SRL,Campania,,95443452A8,7608896.13,SERVIZIO DI MANUTENZIONE DELLA RETE STRADALE DI CUI AL PIANO TRIENNALE DI MANUTENZIONE DELLE STRADE DI INTERESSE REGIONALE 2022-2024 - D.G.R. 335 DEL 28/06/2022 - LOTTO 4 - FASE I,NON_CLASSIFICATO,,True,True,,,,False,NOT_ACTIONABLE,NOT_FOUND,ESTIMATE,,,
