leadId,companyName,region,city,cig,amount,object,category,awardDate,officialSource,winnerIdentified,phone,email,website,actionable,tier,insuranceNeed,estimateKind,contractType,origin,reviewer,reviewed_at,notes
ingest-veneto-9376604A65,EDIL ALTA SRL,Veneto,BASSANO DEL GRAPPA,9376604A65,9390789.19,APPALTO 43/2022: LAVORI DI POTENZIAMENTO DEL DEPURATORE DI LIMENA (P669),GARE_MEDIUM,2024-02-05,True,True,,,,True,MEDIUM,WEAKLY_INFERRED,ESTIMATE,LAVORI,OFFICIAL_SHADOW_INGEST,,,
ingest-veneto-9378229764,DECOR DESIGNE HT SNC,Veneto,CASTAGNARO,9378229764,30006.0,LAVORI MESSA IN SICUREZZA EDIFICIO PUBBLICO CASERMA,NON_CLASSIFICATO,2025-09-05,True,True,,,,False,NOT_ACTIONABLE,NOT_FOUND,ESTIMATE,LAVORI,OFFICIAL_SHADOW_INGEST,,,
ingest-veneto-878470798A,S.C.L. COSTRUZIONI E MONTAGGI S.R.L.,Veneto,VICENZA,878470798A,194816420.55,REALIZZAZIONE DELLE OPERE CIVILI E ARMAMENTO FERROVIARIO MONTEBELLO NELL'AMBITO DEI LAVORI DI REALIZZAZIONE DELLA TRATTA AV/AC VERONA- PADOVA 1 LOTTO FUNZIONALE VERONA- BIVIO VICENZA DALLA PK 32+340 A,GARE_MEDIUM,2021-12-15,True,True,,,,True,MEDIUM,WEAKLY_INFERRED,ESTIMATE,LAVORI,OFFICIAL_SHADOW_INGEST,,,
ingest-veneto-888815625D,SALCEF SPA,Veneto,VICENZA,888815625D,56540788.55,"REALIZZAZIONE DELLE OPERE CIVILI E ARMAMENTO FERROVIARIO VERONA EST NELL'AMBITO DEI LAVORI DI REALIZZAZIONE DELLA TRATTA AV/AC VERONA-PADOVA, 1O LOTTO FUNZIONALE VERONA - BIVIO VICENZA DALLA PK 0+000 ",GARE_MEDIUM,2022-02-22,True,True,,,,True,MEDIUM,WEAKLY_INFERRED,ESTIMATE,LAVORI,OFFICIAL_SHADOW_INGEST,,,
ingest-veneto-90565315CE,ITALIANA COSTRUZIONI SPA,Veneto,BELLUNO,90565315CE,30214742.42,PROCEDURA APERTA PER L'APPALTO DI LAVORI DI MIGLIORAMENTO SISMICO ED ADEGUAMENTO ANTINCENDIO DELL'OSPEDALE DI BELLUNO,GARE_HIGH,2022-04-15,True,True,,,,True,HIGH,WEAKLY_INFERRED,ESTIMATE,LAVORI,OFFICIAL_SHADOW_INGEST,,,
ingest-veneto-92679889A3,HITRAC ENGINEERING GROUP S.P.A.,Veneto,VENEZIA,92679889A3,6699675.11,LAVORI PER REALIZZAZIONE TERAPIE INTENSIVA PER N. 9 POSTI LETTO IN EDIFICIO BLOCCO EST OD0 3D OSPEDALE DI DOLO (VE) IN ATTUAZIONE DEL PIANO DI RIORGANIZZAZIONE DELLA RETE OSPEDALIERA IN EMERGENZA COVI,GARE_HIGH,2022-06-20,True,True,,,,True,HIGH,WEAKLY_INFERRED,ESTIMATE,LAVORI,OFFICIAL_SHADOW_INGEST,,,
ingest-veneto-8649717446,VENETA SANITARIA FINANZA DI PROGETTO SPA,Veneto,VENEZIA,8649717446,6498874.31,LAVORI PER L'ACCORPAMENTO E LA RIORGANIZZAZIONE DEI LABORATORI PRESSO L'OSPEDALE DELL'ANGELO DI MESTRE,GARE_HIGH,2022-05-11,True,True,,,,True,HIGH,WEAKLY_INFERRED,ESTIMATE,LAVORI,OFFICIAL_SHADOW_INGEST,,,
ingest-veneto-8288290148,CARLUCCI GRUOUP S.R.L.,Veneto,VENEZIA,8288290148,5238034.51,LAVORI DI RINNOVO E POTENZIAMENTO DELLA CONDOTTA ADDUTTRICE DAL CAMPO POZZI DI RONCADELLE A PONTE DI PIAVE (TV),GARE_MEDIUM,2020-11-10,True,True,,,,True,MEDIUM,WEAKLY_INFERRED,ESTIMATE,LAVORI,OFFICIAL_SHADOW_INGEST,,,
ingest-veneto-8977804E38,ENGIE SERVIZI S.P.A.,Veneto,VENEZIA,8977804E38,5085000.0,ACCORDO QUADRO DI DURATA TRIENNALE PER L'ESECUZIONE DI LAVORI DI MANUTENZIONE STRAORDINARIA DA ESEGUIRSI PRESSO GLI EDIFICI UNIVERSITARI,GARE_MEDIUM,2022-05-02,True,True,,,,True,MEDIUM,WEAKLY_INFERRED,ESTIMATE,LAVORI,OFFICIAL_SHADOW_INGEST,,,
ingest-veneto-8946037745,TECNO FUTURA S.R.L.,Veneto,PADOVA,8946037745,5000000.0,LAVORI DI MANUTENZIONE TRIENNALE STRAORDINARIA AGLI IMPIANTI TERMOMECCANICI E GAS MEDICALI DELL'AZIENDA OSPEDALE - UNIVERSITÀ PADOVA. COMMESSA A422,GARE_HIGH,2021-11-19,True,True,,,,True,HIGH,WEAKLY_INFERRED,ESTIMATE,LAVORI,OFFICIAL_SHADOW_INGEST,,,
ingest-veneto-9839133568,PRODON IMPIANTI TECNOLOGICI S.R.L.,Veneto,PADOVA,9839133568,4730000.0,PROCEDURA NEGOZIATA PREVIA INDAGINE DI MERCATO PER L'AFFIDAMENTO DELL'ACCORDO QUADRO QUADRIENNALE CON UN SOLO OPERATORE ECONOMICO AVENTE AD OGGETTO INTERVENTI DI MANUTENZIONE STRAORDINARIA SU IMMOBILI,GARE_MEDIUM,2023-08-23,True,True,,,,True,MEDIUM,WEAKLY_INFERRED,ESTIMATE,LAVORI,OFFICIAL_SHADOW_INGEST,,,
ingest-veneto-8934951ACF,COSTRUZIONI GENERALI GIRARDINI SPA UNIPERSONALE,Veneto,VERONA,8934951ACF,4646613.74,GARA 19/21 LOTTO 1 MANUTENZIONE STRAORDINARIA MEDIANTE RIQUALIFICAZIONE PROFONDA DELLA STRUTTURA PORTANTE DELLA PAVIMENTAZIONE AUTOSTRADALE AUTOSTRADA A4 CARREGGIATA EST DAL KM 345+800 AL KM 351+300.,GARE_MEDIUM,2022-01-19,True,True,,,,True,MEDIUM,WEAKLY_INFERRED,ESTIMATE,LAVORI,OFFICIAL_SHADOW_INGEST,,,
ingest-veneto-8945055CE4,SOCIM SPA,Veneto,VALEGGIO SUL MINCIO,8945055CE4,4396277.41,LAVORI DI REALIZZAZIONE NUOVA SCUOLA PRIMARIA IN SOSTITUZIONE DELLA ESISTENTE 'C.COLLODI' COMUNE DI VALEGGIO SUL MINCIO,GARE_MEDIUM,2021-11-04,True,True,,,,True,MEDIUM,WEAKLY_INFERRED,ESTIMATE,LAVORI,OFFICIAL_SHADOW_INGEST,,,
ingest-veneto-82212641AD,COOPERATIVA SAN MARTINO SOC. COOP.,Veneto,VENEZIA,82212641AD,3684000.0,ACCORDO QUADRO CON UN SOLO OPERATORE ECONOMICO AVENTE AD OGGETTO I LAVORI DI ESCAVO DEI CANALI PORTUALI DI GRANDE NAVIGAZIONE AL PORTO DI VENEZIA ED AL PORTO DI CHIOGGIA,GARE_MEDIUM,2020-09-30,True,True,,,,True,MEDIUM,WEAKLY_INFERRED,ESTIMATE,LAVORI,OFFICIAL_SHADOW_INGEST,,,
ingest-veneto-9799359EDA,TESSARO REMO S.R.L.,Veneto,PIOMBINO DESE,9799359EDA,3682810.82,NUOVO POLO D'INFANZIA COMUNALE - ESECUZIONE LAVORI E REDAZIONE PROGETTO DEFINITIVO ED ESECUTIVO,GARE_MEDIUM,2023-05-25,True,True,,,,True,MEDIUM,WEAKLY_INFERRED,ESTIMATE,LAVORI,OFFICIAL_SHADOW_INGEST,,,
ingest-veneto-A04B4D5316,SELEXI S.R.L.,Veneto,VENEZIA,A04B4D5316,350740.0,"RINNOVO SERVIZIO DI ELABORAZIONE DELLE PROVE, SOMMINISTRAZIONE E ASSISTENZA AI TEST PER CORSI DI LAUREA E LAUREA MAGISTRALE",NON_CLASSIFICATO,2024-01-29,True,True,,,,False,NOT_ACTIONABLE,NOT_FOUND,ESTIMATE,SERVIZI,OFFICIAL_SHADOW_INGEST,,,
ingest-veneto-96792322EE,TELEPASS S.P.A.,Veneto,VENEZIA,96792322EE,341040.0,SERVIZIO PER LA GESTIONE ON-LINE DELLE TRANSAZIONI CORRELATE AI PAGAMENTI DI PEDAGGIO AUTOSTRADALE CON CARTE DI CREDITO,NON_CLASSIFICATO,2024-02-28,True,True,,,,False,NOT_ACTIONABLE,NOT_FOUND,ESTIMATE,SERVIZI,OFFICIAL_SHADOW_INGEST,,,
ingest-veneto-90103800CD,CENTRO SERVIZI SNC,Veneto,LONIGO,90103800CD,143669.67,SCELTA DELL'OPERATORE ECONOMICO CUI CONFERIRE L'AFFIDAMENTO DI SERVIZI TECNICI ASSOCIATI ALLA GESTIONE INFORMATICA DELLE ATTIVITÀ CONNESSE CON LA RACCOLTA DEI RIFIUTI PER UN PERIODO DI MESI 36 (TRENTA,NON_CLASSIFICATO,2024-03-16,True,True,,,,False,NOT_ACTIONABLE,NOT_FOUND,ESTIMATE,SERVIZI,OFFICIAL_SHADOW_INGEST,,,
ingest-veneto-893928642C,BS PROGETTI S.R.L.,Veneto,TREVISO,893928642C,58800.0,SERVIZIO DI PROGETTAZIONE DEFINITIVA E ESECUTIVA MIGLIORAMENTO SISMICO E ADEGUAMENTO DEL PRIMO PIANO DELLA CASA ALBERGO SALCE,NON_CLASSIFICATO,2024-02-09,True,True,,,,False,NOT_ACTIONABLE,NOT_FOUND,ESTIMATE,SERVIZI,OFFICIAL_SHADOW_INGEST,,,
ingest-veneto-89123407A0,BEZZEGATO ANTONIO,Veneto,ROVIGO,89123407A0,40000000.0,"PROCEDURA APERTA PER LA CONCLUSIONE DI ACCORDI QUADRO, CIASCUNO CON UN UNICO OPERATORE ECONOMICO, IN CONFORMITÀ A QUANTO STABILITO DALL'ART. 54 DEL D.LGS. N. 50/2016, PER L'ESECUZIONE DEGLI INTERVENTI",GARE_MEDIUM,2022-03-29,True,True,,,,True,MEDIUM,WEAKLY_INFERRED,ESTIMATE,SERVIZI,OFFICIAL_SHADOW_INGEST,,,
ingest-veneto-8747494468,MILONGA SOCIETA' COOPERATIVA SOCIALE,Veneto,VERONA,8747494468,32257166.97,PROCEDURA APERTA CONCLUSIONE ACCORDO QUADRO BIENNALE AFFIDAMENTO SERVIZI DI ACCOGLIENZA TIPOLOGIA ACC. DIFFUSA,GARE_MEDIUM,2022-01-31,True,True,,,,True,MEDIUM,WEAKLY_INFERRED,ESTIMATE,SERVIZI,OFFICIAL_SHADOW_INGEST,,,
ingest-veneto-9259350158,LA RONDA SERVIZI DI VIGILANZA SPA,Veneto,SOMMACAMPAGNA,9259350158,23782142.07,CATULLO VR BS - PROCEDURA APERTA PER L’AFFIDAMENTO DEL SERVIZIO DI CONTROLLO DI SICUREZZA AEROPORTUALE E SERVIZI AUSILIARI PRESSO GLI SCALI DI VERONA VILLAFRANCA E BRESCIA MONTICHIARI.,GARE_MEDIUM,2022-12-14,True,True,,,,True,MEDIUM,WEAKLY_INFERRED,ESTIMATE,SERVIZI,OFFICIAL_SHADOW_INGEST,,,
ingest-veneto-90976187DE,PRESENT S.P.A.,Veneto,VENEZIA,90976187DE,23365286.84,"ADESIONE ALL'ACCORDO QUADRO 'SERVIZI SYSTEM MANAGEMENT, SM-2'STIPULATO DA CONSIP S.P.A. E INDIZIONE APPALTO SPECIFICO PER L`AFFIDAMENTO DEL SERVIZIO DI 'GESTIONE, ASSISTENZA E MONITORAGGIO DEI SERVIZI",GARE_MEDIUM,2022-06-24,True,True,,,,True,MEDIUM,WEAKLY_INFERRED,ESTIMATE,SERVIZI,OFFICIAL_SHADOW_INGEST,,,
ingest-veneto-8924559B0F,FASTWEB SPA,Veneto,TREVISO,8924559B0F,21881540.22,"APPALTO SPECIFICO PER L'AFFIDAMENTO DI SERVIZI DI SYSTEM MANAGEMENT, PER L'AZIENDA ULSS 2 MARCA TREVIGIANA, BASATO SULL'ACCORDO QUADRO PER LA PRESTAZIONE DI SERVIZI DI SYSTEM MANAGEMENT PER LE PUBBLIC",GARE_HIGH,2022-05-06,True,True,,,,True,HIGH,WEAKLY_INFERRED,ESTIMATE,SERVIZI,OFFICIAL_SHADOW_INGEST,,,
