id,region,province,companyName,verdict,website,stratum,reviewer,reviewed_at,entity_correct,official_website_correct,identity_correct,source_correct,verdict_correct,commercial_value_real,false_positive,false_negative,critical_contamination,notes,corrected_value
shadow-gare-veneto-001,Veneto,VR,[SAMPLE] gare Veneto VERY_HIGH #1 (VR),VERY_HIGH,https://sample-gare-1.example.it,VERY_HIGH,,,,,,,,,,,,,
shadow-gare-veneto-002,Veneto,PD,[SAMPLE] gare Veneto VERY_HIGH #2 (PD),VERY_HIGH,https://sample-gare-2.example.it,VERY_HIGH,,,,,,,,,,,,,
shadow-gare-veneto-003,Veneto,VI,[SAMPLE] gare Veneto VERY_HIGH #3 (VI),VERY_HIGH,https://sample-gare-3.example.it,VERY_HIGH,,,,,,,,,,,,,
shadow-gare-veneto-004,Veneto,TV,[SAMPLE] gare Veneto VERY_HIGH #4 (TV),VERY_HIGH,https://sample-gare-4.example.it,VERY_HIGH,,,,,,,,,,,,,
shadow-gare-veneto-005,Veneto,BL,[SAMPLE] gare Veneto VERY_HIGH #5 (BL),VERY_HIGH,https://sample-gare-5.example.it,VERY_HIGH,,,,,,,,,,,,,
shadow-gare-veneto-006,Veneto,RO,[SAMPLE] gare Veneto VERY_HIGH #6 (RO),VERY_HIGH,https://sample-gare-6.example.it,VERY_HIGH,,,,,,,,,,,,,
shadow-gare-veneto-007,Veneto,VE,[SAMPLE] gare Veneto VERY_HIGH #7 (VE),VERY_HIGH,https://sample-gare-7.example.it,VERY_HIGH,,,,,,,,,,,,,
shadow-gare-veneto-008,Veneto,VR,[SAMPLE] gare Veneto VERY_HIGH #8 (VR),VERY_HIGH,https://sample-gare-8.example.it,VERY_HIGH,,,,,,,,,,,,,
shadow-gare-veneto-009,Veneto,PD,[SAMPLE] gare Veneto VERY_HIGH #9 (PD),VERY_HIGH,https://sample-gare-9.example.it,VERY_HIGH,,,,,,,,,,,,,
shadow-gare-veneto-010,Veneto,VI,[SAMPLE] gare Veneto VERY_HIGH #10 (VI),VERY_HIGH,https://sample-gare-10.example.it,VERY_HIGH,,,,,,,,,,,,,
shadow-gare-veneto-011,Veneto,TV,[SAMPLE] gare Veneto VERY_HIGH #11 (TV),VERY_HIGH,https://sample-gare-11.example.it,VERY_HIGH,,,,,,,,,,,,,
shadow-gare-veneto-012,Veneto,BL,[SAMPLE] gare Veneto VERY_HIGH #12 (BL),VERY_HIGH,https://sample-gare-12.example.it,VERY_HIGH,,,,,,,,,,,,,
shadow-gare-veneto-013,Veneto,RO,[SAMPLE] gare Veneto VERY_HIGH #13 (RO),VERY_HIGH,https://sample-gare-13.example.it,VERY_HIGH,,,,,,,,,,,,,
shadow-gare-veneto-014,Veneto,VE,[SAMPLE] gare Veneto VERY_HIGH #14 (VE),VERY_HIGH,https://sample-gare-14.example.it,VERY_HIGH,,,,,,,,,,,,,
shadow-gare-veneto-015,Veneto,VR,[SAMPLE] gare Veneto VERY_HIGH #15 (VR),VERY_HIGH,https://sample-gare-15.example.it,VERY_HIGH,,,,,,,,,,,,,
shadow-gare-veneto-016,Veneto,PD,[SAMPLE] gare Veneto HIGH #1 (PD),HIGH,https://sample-gare-16.example.it,HIGH,,,,,,,,,,,,,
shadow-gare-veneto-017,Veneto,VI,[SAMPLE] gare Veneto HIGH #2 (VI),HIGH,https://sample-gare-17.example.it,HIGH,,,,,,,,,,,,,
shadow-gare-veneto-018,Veneto,TV,[SAMPLE] gare Veneto HIGH #3 (TV),HIGH,https://sample-gare-18.example.it,HIGH,,,,,,,,,,,,,
shadow-gare-veneto-019,Veneto,BL,[SAMPLE] gare Veneto HIGH #4 (BL),HIGH,https://sample-gare-19.example.it,HIGH,,,,,,,,,,,,,
shadow-gare-veneto-020,Veneto,RO,[SAMPLE] gare Veneto HIGH #5 (RO),HIGH,https://sample-gare-20.example.it,HIGH,,,,,,,,,,,,,
shadow-gare-veneto-021,Veneto,VE,[SAMPLE] gare Veneto HIGH #6 (VE),HIGH,https://sample-gare-21.example.it,HIGH,,,,,,,,,,,,,
shadow-gare-veneto-022,Veneto,VR,[SAMPLE] gare Veneto HIGH #7 (VR),HIGH,https://sample-gare-22.example.it,HIGH,,,,,,,,,,,,,
shadow-gare-veneto-023,Veneto,PD,[SAMPLE] gare Veneto HIGH #8 (PD),HIGH,https://sample-gare-23.example.it,HIGH,,,,,,,,,,,,,
shadow-gare-veneto-024,Veneto,VI,[SAMPLE] gare Veneto HIGH #9 (VI),HIGH,https://sample-gare-24.example.it,HIGH,,,,,,,,,,,,,
shadow-gare-veneto-025,Veneto,TV,[SAMPLE] gare Veneto HIGH #10 (TV),HIGH,https://sample-gare-25.example.it,HIGH,,,,,,,,,,,,,
