leadId,companyName,region,city,category,website,pagesVisited,storico,nuovo,stopCondition,reviewer,reviewed_at,false_hot,notes
cmqn3iyq1000h1272pi159rt1,AMES Centro Polidiagnostico Strumentale S.r.l.,Campania,Casalnuovo di Napoli,Centro di riabilitazione,https://www.centroames.it/,50,HOT,TECHNICAL_REVALIDATION_REQUIRED,NEEDS_FULL_CRAWL_GRAPH,,,,
cmqp38j60000akuhvjlgilsn7,ASST Fatebenefratelli Sacco - Poliambulatorio Farini,Campania,Sacco,Clinica medica,https://www.asst-fbf-sacco.it/servizi-territoriali/info/case-di-comunita,16,HOT,TECHNICAL_REVALIDATION_REQUIRED,NEEDS_FULL_CRAWL_GRAPH,,,,
cmqmcsd87008c9g5ctit42ypy,AURA – Ambulatorio di Neuropsicomotricità,Campania,Benevento,Centro medico,http://www.saraingordigia.it/,27,HOT,TECHNICAL_REVALIDATION_REQUIRED,NEEDS_FULL_CRAWL_GRAPH,,,,
cmqp9aznp000712b2ltv041ns,Ad Astra,Campania,Sirignano,Centro di riabilitazione,https://adastradigital.it/,20,HOT,TECHNICAL_REVALIDATION_REQUIRED,NEEDS_FULL_CRAWL_GRAPH,,,,
cmqp9r0k60001xk2879bhqset,Affitto stanze in appartamento - One-Bedroom Apartment,Campania,Camposano,casa di cura,https://br.bluepillow.com/search/654cae8b3011da1e8b77ecca?dest=bkng&cat=Apartment&lat=40.95545&lng=14.53124&language=pt,54,HOT,TECHNICAL_REVALIDATION_REQUIRED,NEEDS_FULL_CRAWL_GRAPH,,,,
cmqmanmo400299g5cg2d2rlcv,Alesan srl Chirurgia Ambulatoriale Polispecialistica,Campania,Acerno,Centro medico,http://www.alesan.it/,54,HOT,TECHNICAL_REVALIDATION_REQUIRED,NEEDS_FULL_CRAWL_GRAPH,,,,
cmqn2xibj000hmhc2l0sep39e,Alphacom Italia Srl,Campania,Eboli,Centro diagnostico,https://www.alphacomitalia.com/,61,HOT,TECHNICAL_REVALIDATION_REQUIRED,NEEDS_FULL_CRAWL_GRAPH,,,,
cmqn2xibr000mmhc2lnqo0a18,Amica Life - Residenza Anziani a Santa Maria Capua Vetere,Campania,Santa Maria Capua Vetere,casa di cura,http://www.amicalife.it/residenza-anziani-santa-maria-capua-vetere,33,HOT,TECHNICAL_REVALIDATION_REQUIRED,NEEDS_FULL_CRAWL_GRAPH,,,,
cmqn11k5n0002lyoutv0m940e,Analisi Cliniche D'Onofrio,Campania,Bellizzi,Laboratorio medico,https://www.analisiclinichedonofrio.it/,17,HOT,TECHNICAL_REVALIDATION_REQUIRED,NEEDS_FULL_CRAWL_GRAPH,,,,
cmqp2i3ak000ajtawmbl4g8ui,Analisi Cliniche La Salute (Laboratorio e Diabetologia),Campania,Roccapiemonte,Laboratorio medico,http://www.analisiclinichelasalute.com/,54,HOT,TECHNICAL_REVALIDATION_REQUIRED,NEEDS_FULL_CRAWL_GRAPH,,,,
cmqp5g0cs000310ohccenb7b7,Antares Centro Riabilitazione Neurologico,Campania,San Nicola la Strada,Centro medico,https://www.novariabilitazione.com/contatti/,54,HOT,TECHNICAL_REVALIDATION_REQUIRED,NEEDS_FULL_CRAWL_GRAPH,,,,
cmqohi44n0055aa3vo1ao6zhw,Apartments Amalfi Design,Campania,Amalfi,Centro di riabilitazione,http://www.apartmentsamalfi.com/,38,HOT,TECHNICAL_REVALIDATION_REQUIRED,NEEDS_FULL_CRAWL_GRAPH,,,,
cmqn044s90002k7m8042iczoa,Arcadia Beauty Center- Sport & Benessere,Campania,Quarto,Clinica di fisioterapia,http://www.arcadiabeautycenter.it/,113,HOT,TECHNICAL_REVALIDATION_REQUIRED,NEEDS_FULL_CRAWL_GRAPH,,,,
cmqooitwe006aaa3v3d79t5a2,Aura Centro Medico Laser - Dott. Tullio Alliegro,Campania,Padula,Centro medico,https://www.centrolaseraura.com/,15,HOT,TECHNICAL_REVALIDATION_REQUIRED,NEEDS_FULL_CRAWL_GRAPH,,,,
cmqm88ttq000ajc3mjw49n5sf,Aura Hospital,Campania,Teano,Casa di cura,https://aurahospital.it/,22,HOT,TECHNICAL_REVALIDATION_REQUIRED,NEEDS_FULL_CRAWL_GRAPH,,,,
cmqn2xiba000cmhc29aw2fn3b,Aurial | Glamour Medical Experience,Campania,Nola,Centro di riabilitazione,https://aurial.it/,119,HOT,TECHNICAL_REVALIDATION_REQUIRED,NEEDS_FULL_CRAWL_GRAPH,,,,
cmqmd91b3008y9g5cvbf6safu,Bucciano RSA,Campania,Bucciano,Ospedale psichiatrico,https://www.bucciano.com/,11,HOT,REVIEW,HOT_INCOMPLETE_CRAWL,,,,
cmqpauvsy0004lysbpggage9k,C.m.o. (Prelievi),Campania,Torre Annunziata,Centro diagnostico,https://www.cmocentropolispecialistico.it/,94,HOT,TECHNICAL_REVALIDATION_REQUIRED,NEEDS_FULL_CRAWL_GRAPH,,,,
cmqn40ooq0001kwqd4mnnl9mh,CAD INFISSI,Campania,Casapesenna,Casa di cura,https://cadinfissi.it/,15,HOT,TECHNICAL_REVALIDATION_REQUIRED,NEEDS_FULL_CRAWL_GRAPH,,,,
cmqohi45s005haa3vwwhe6e8v,CASA DI CURA SANTA MARIA DI LEUCA,Campania,Monteverde,Clinica medica,https://clinicasantamariadileuca.it/,82,HOT,TECHNICAL_REVALIDATION_REQUIRED,NEEDS_FULL_CRAWL_GRAPH,,,,
cmqots2vf007taa3va0ptz2cd,CE.DI.SA. Centro Diagnostico Salernitano,Campania,Salerno,Ospedale,https://www.cedisa.it/,16,HOT,TECHNICAL_REVALIDATION_REQUIRED,NEEDS_FULL_CRAWL_GRAPH,,,,
cmqpc51ry000dd5jk7kkh45t8,CENTRO DIAGNOSTICA PER IMMAGINI RADIOLOGIA ED ECOGRAFIA VOLLA,Campania,Volla,Centro medico,https://www.radiologiavolla.it/,19,HOT,TECHNICAL_REVALIDATION_REQUIRED,NEEDS_FULL_CRAWL_GRAPH,,,,
cmqmd91bd008z9g5chot5x41p,CMR Centro Medico di Diagnostica e Riabilitazione,Campania,Sant'Agata Dé Goti,Clinica medica,http://www.cmrspa.it/,240,HOT,TECHNICAL_REVALIDATION_REQUIRED,NEEDS_FULL_CRAWL_GRAPH,,,,
cmqmcn7zf007h9g5cv4lx76dw,CMSO - Centro Medico Specialistico Orio,Campania,Laurino,Centro medico,http://www.cmso.it/,154,HOT,TECHNICAL_REVALIDATION_REQUIRED,NEEDS_FULL_CRAWL_GRAPH,,,,
cmql4d390000oc9w70lelcqnp,Cardio-Progress Di Pierro Cira & C. S.A.S.,Campania,San Cipriano d'Aversa,Ospedale di cardiologia,http://cardioprogress.it/,24,HOT,TECHNICAL_REVALIDATION_REQUIRED,NEEDS_FULL_CRAWL_GRAPH,,,,
cmqp8n8mj0006ctpngfag24ca,Casa Albergo Per Anziani Leo San,Campania,Cicerale,Casa di cura,http://www.leosan.it/it/index.asp,15,HOT,TECHNICAL_REVALIDATION_REQUIRED,NEEDS_FULL_CRAWL_GRAPH,,,,
cmql4d392000pc9w7usrn62m5,Casa Anziani Cameo ONLUS Aversa Campania- Gruppo Appartamento,Campania,San Cipriano d'Aversa,Assistenza agli anziani,http://www.coopcameo.it/,48,HOT,TECHNICAL_REVALIDATION_REQUIRED,NEEDS_FULL_CRAWL_GRAPH,,,,
cmqp7u736000f2lzgxtdvvq5e,Casa Di Cura Angrisani Srl,Campania,Nocera Inferiore,Assistenza agli anziani,https://villadeifiori.it/,184,HOT,TECHNICAL_REVALIDATION_REQUIRED,NEEDS_FULL_CRAWL_GRAPH,,,,
cmqkld5sa00af108epednu868,Casa Di Cura Cardiomed S.p.A..,Campania,Ottaviano,Casa di cura accreditata (Min. Salute),https://www.clinicacardiomed.com/,23,HOT,TECHNICAL_REVALIDATION_REQUIRED,NEEDS_FULL_CRAWL_GRAPH,,,,
cmqkld5s3009z108e1yj01zqy,Casa Di Cura Clinic Center S.p.A.,Campania,Napoli,Clinica specializzata,https://cliniccenter.eu/,189,HOT,TECHNICAL_REVALIDATION_REQUIRED,NEEDS_FULL_CRAWL_GRAPH,,,,
cmqmc3zdd006b9g5cnrbppcgk,Casa Di Cura Clinica San Michele,Campania,Bonea,Clinica medica,https://www.michele.it/,15,HOT,TECHNICAL_REVALIDATION_REQUIRED,NEEDS_FULL_CRAWL_GRAPH,,,,
cmqp38j68000dkuhv68rduw8t,Casa Di Cura Euro Italia,Campania,Salento,Ospedale,https://www.euroitalia.net/,45,HOT,TECHNICAL_REVALIDATION_REQUIRED,NEEDS_FULL_CRAWL_GRAPH,,,,
cmqma47ng000c9g5cw85q6myn,Casa Di Cura La Quiete,Campania,Pellezzano,Ospedale privato,http://www.casadicuralaquiete.it/,25,HOT,TECHNICAL_REVALIDATION_REQUIRED,NEEDS_FULL_CRAWL_GRAPH,,,,
cmqpbu1430001nwzfi9xy7s3a,Casa Di Cura Le Ville,Campania,Montefalcione,Casa di riposo,http://www.teoreoleville.it/,22,HOT,TECHNICAL_REVALIDATION_REQUIRED,NEEDS_FULL_CRAWL_GRAPH,,,,
cmqkld5rx009p108edj6t9krw,Casa Di Cura Pineta Grande,Campania,Villa Literno,Ospedale privato,https://www.pinetagrande.it/,15,HOT,TECHNICAL_REVALIDATION_REQUIRED,NEEDS_FULL_CRAWL_GRAPH,,,,
cmqkld5sa00ad108e4xkgdy4f,Casa Di Cura S. Maria La Bruna S.r.l.,Campania,Torre Del Greco,Casa di cura accreditata (Min. Salute),https://www.mariabruna.com/,54,HOT,TECHNICAL_REVALIDATION_REQUIRED,NEEDS_FULL_CRAWL_GRAPH,,,,
cmqpc51r40007d5jk81x3l73e,Casa Di Cura San Vincenzo,Campania,Villaricca,Centro di riabilitazione,https://www.vincenzo.com/,25,HOT,TECHNICAL_REVALIDATION_REQUIRED,NEEDS_FULL_CRAWL_GRAPH,,,,
cmqkld5s2009y108ejvgl7m92,Casa Di Cura Villa Angela S.r.l.,Campania,Comiziano,Clinica medica,http://www.villaangela.it/,26,HOT,TECHNICAL_REVALIDATION_REQUIRED,NEEDS_FULL_CRAWL_GRAPH,,,,
