id,region,province,companyName,verdict,website,stratum,reviewer,reviewed_at,entity_correct,official_website_correct,identity_correct,source_correct,verdict_correct,commercial_value_real,false_positive,false_negative,critical_contamination,notes,corrected_value
shadow-sanita-campania-001,Campania,SA,[SAMPLE] sanita Campania HOT #1 (SA),HOT,https://sample-sanita-1.example.it,HOT,,,,,,,,,,,,,
shadow-sanita-campania-002,Campania,CE,[SAMPLE] sanita Campania HOT #2 (CE),HOT,https://sample-sanita-2.example.it,HOT,,,,,,,,,,,,,
shadow-sanita-campania-003,Campania,AV,[SAMPLE] sanita Campania HOT #3 (AV),HOT,https://sample-sanita-3.example.it,HOT,,,,,,,,,,,,,
shadow-sanita-campania-004,Campania,BN,[SAMPLE] sanita Campania HOT #4 (BN),HOT,https://sample-sanita-4.example.it,HOT,,,,,,,,,,,,,
shadow-sanita-campania-005,Campania,NA,[SAMPLE] sanita Campania HOT #5 (NA),HOT,https://sample-sanita-5.example.it,HOT,,,,,,,,,,,,,
shadow-sanita-campania-006,Campania,SA,[SAMPLE] sanita Campania HOT #6 (SA),HOT,https://sample-sanita-6.example.it,HOT,,,,,,,,,,,,,
shadow-sanita-campania-007,Campania,CE,[SAMPLE] sanita Campania HOT #7 (CE),HOT,https://sample-sanita-7.example.it,HOT,,,,,,,,,,,,,
shadow-sanita-campania-008,Campania,AV,[SAMPLE] sanita Campania HOT #8 (AV),HOT,https://sample-sanita-8.example.it,HOT,,,,,,,,,,,,,
shadow-sanita-campania-009,Campania,BN,[SAMPLE] sanita Campania HOT #9 (BN),HOT,https://sample-sanita-9.example.it,HOT,,,,,,,,,,,,,
shadow-sanita-campania-010,Campania,NA,[SAMPLE] sanita Campania HOT #10 (NA),HOT,https://sample-sanita-10.example.it,HOT,,,,,,,,,,,,,
shadow-sanita-campania-011,Campania,SA,[SAMPLE] sanita Campania HOT #11 (SA),HOT,https://sample-sanita-11.example.it,HOT,,,,,,,,,,,,,
shadow-sanita-campania-012,Campania,CE,[SAMPLE] sanita Campania HOT #12 (CE),HOT,https://sample-sanita-12.example.it,HOT,,,,,,,,,,,,,
shadow-sanita-campania-013,Campania,AV,[SAMPLE] sanita Campania HOT #13 (AV),HOT,https://sample-sanita-13.example.it,HOT,,,,,,,,,,,,,
shadow-sanita-campania-014,Campania,BN,[SAMPLE] sanita Campania HOT #14 (BN),HOT,https://sample-sanita-14.example.it,HOT,,,,,,,,,,,,,
shadow-sanita-campania-015,Campania,NA,[SAMPLE] sanita Campania HOT #15 (NA),HOT,https://sample-sanita-15.example.it,HOT,,,,,,,,,,,,,
shadow-sanita-campania-016,Campania,SA,[SAMPLE] sanita Campania HOT #16 (SA),HOT,https://sample-sanita-16.example.it,HOT,,,,,,,,,,,,,
shadow-sanita-campania-017,Campania,CE,[SAMPLE] sanita Campania HOT #17 (CE),HOT,https://sample-sanita-17.example.it,HOT,,,,,,,,,,,,,
shadow-sanita-campania-018,Campania,AV,[SAMPLE] sanita Campania HOT #18 (AV),HOT,https://sample-sanita-18.example.it,HOT,,,,,,,,,,,,,
shadow-sanita-campania-019,Campania,BN,[SAMPLE] sanita Campania HOT #19 (BN),HOT,https://sample-sanita-19.example.it,HOT,,,,,,,,,,,,,
shadow-sanita-campania-020,Campania,NA,[SAMPLE] sanita Campania HOT #20 (NA),HOT,https://sample-sanita-20.example.it,HOT,,,,,,,,,,,,,
shadow-sanita-campania-021,Campania,SA,[SAMPLE] sanita Campania PUBLISHED #1 (SA),PUBLISHED,https://sample-sanita-21.example.it,PUBLISHED,,,,,,,,,,,,,
shadow-sanita-campania-022,Campania,CE,[SAMPLE] sanita Campania PUBLISHED #2 (CE),PUBLISHED,https://sample-sanita-22.example.it,PUBLISHED,,,,,,,,,,,,,
shadow-sanita-campania-023,Campania,AV,[SAMPLE] sanita Campania PUBLISHED #3 (AV),PUBLISHED,https://sample-sanita-23.example.it,PUBLISHED,,,,,,,,,,,,,
shadow-sanita-campania-024,Campania,BN,[SAMPLE] sanita Campania PUBLISHED #4 (BN),PUBLISHED,https://sample-sanita-24.example.it,PUBLISHED,,,,,,,,,,,,,
shadow-sanita-campania-025,Campania,NA,[SAMPLE] sanita Campania PUBLISHED #5 (NA),PUBLISHED,https://sample-sanita-25.example.it,PUBLISHED,,,,,,,,,,,,,
shadow-sanita-campania-026,Campania,SA,[SAMPLE] sanita Campania PUBLISHED #6 (SA),PUBLISHED,https://sample-sanita-26.example.it,PUBLISHED,,,,,,,,,,,,,
shadow-sanita-campania-027,Campania,CE,[SAMPLE] sanita Campania PUBLISHED #7 (CE),PUBLISHED,https://sample-sanita-27.example.it,PUBLISHED,,,,,,,,,,,,,
shadow-sanita-campania-028,Campania,AV,[SAMPLE] sanita Campania PUBLISHED #8 (AV),PUBLISHED,https://sample-sanita-28.example.it,PUBLISHED,,,,,,,,,,,,,
shadow-sanita-campania-029,Campania,BN,[SAMPLE] sanita Campania PUBLISHED #9 (BN),PUBLISHED,https://sample-sanita-29.example.it,PUBLISHED,,,,,,,,,,,,,
shadow-sanita-campania-030,Campania,NA,[SAMPLE] sanita Campania PUBLISHED #10 (NA),PUBLISHED,https://sample-sanita-30.example.it,PUBLISHED,,,,,,,,,,,,,
shadow-sanita-campania-031,Campania,SA,[SAMPLE] sanita Campania PUBLISHED #11 (SA),PUBLISHED,https://sample-sanita-31.example.it,PUBLISHED,,,,,,,,,,,,,
shadow-sanita-campania-032,Campania,CE,[SAMPLE] sanita Campania PUBLISHED #12 (CE),PUBLISHED,https://sample-sanita-32.example.it,PUBLISHED,,,,,,,,,,,,,
shadow-sanita-campania-033,Campania,AV,[SAMPLE] sanita Campania PUBLISHED #13 (AV),PUBLISHED,https://sample-sanita-33.example.it,PUBLISHED,,,,,,,,,,,,,
shadow-sanita-campania-034,Campania,BN,[SAMPLE] sanita Campania PUBLISHED #14 (BN),PUBLISHED,https://sample-sanita-34.example.it,PUBLISHED,,,,,,,,,,,,,
shadow-sanita-campania-035,Campania,NA,[SAMPLE] sanita Campania PUBLISHED #15 (NA),PUBLISHED,https://sample-sanita-35.example.it,PUBLISHED,,,,,,,,,,,,,
shadow-sanita-campania-036,Campania,SA,[SAMPLE] sanita Campania REVIEW #1 (SA),REVIEW,https://sample-sanita-36.example.it,REVIEW,,,,,,,,,,,,,
shadow-sanita-campania-037,Campania,CE,[SAMPLE] sanita Campania REVIEW #2 (CE),REVIEW,https://sample-sanita-37.example.it,REVIEW,,,,,,,,,,,,,
shadow-sanita-campania-038,Campania,AV,[SAMPLE] sanita Campania REVIEW #3 (AV),REVIEW,https://sample-sanita-38.example.it,REVIEW,,,,,,,,,,,,,
shadow-sanita-campania-039,Campania,BN,[SAMPLE] sanita Campania REVIEW #4 (BN),REVIEW,https://sample-sanita-39.example.it,REVIEW,,,,,,,,,,,,,
shadow-sanita-campania-040,Campania,NA,[SAMPLE] sanita Campania REVIEW #5 (NA),REVIEW,https://sample-sanita-40.example.it,REVIEW,,,,,,,,,,,,,
shadow-sanita-campania-041,Campania,SA,[SAMPLE] sanita Campania REVIEW #6 (SA),REVIEW,https://sample-sanita-41.example.it,REVIEW,,,,,,,,,,,,,
shadow-sanita-campania-042,Campania,CE,[SAMPLE] sanita Campania REVIEW #7 (CE),REVIEW,https://sample-sanita-42.example.it,REVIEW,,,,,,,,,,,,,
shadow-sanita-campania-043,Campania,AV,[SAMPLE] sanita Campania REVIEW #8 (AV),REVIEW,https://sample-sanita-43.example.it,REVIEW,,,,,,,,,,,,,
shadow-sanita-campania-044,Campania,BN,[SAMPLE] sanita Campania REVIEW #9 (BN),REVIEW,https://sample-sanita-44.example.it,REVIEW,,,,,,,,,,,,,
shadow-sanita-campania-045,Campania,NA,[SAMPLE] sanita Campania REVIEW #10 (NA),REVIEW,https://sample-sanita-45.example.it,REVIEW,,,,,,,,,,,,,
shadow-sanita-campania-046,Campania,SA,[SAMPLE] sanita Campania REVIEW #11 (SA),REVIEW,https://sample-sanita-46.example.it,REVIEW,,,,,,,,,,,,,
shadow-sanita-campania-047,Campania,CE,[SAMPLE] sanita Campania REVIEW #12 (CE),REVIEW,https://sample-sanita-47.example.it,REVIEW,,,,,,,,,,,,,
shadow-sanita-campania-048,Campania,AV,[SAMPLE] sanita Campania REVIEW #13 (AV),REVIEW,https://sample-sanita-48.example.it,REVIEW,,,,,,,,,,,,,
shadow-sanita-campania-049,Campania,BN,[SAMPLE] sanita Campania REVIEW #14 (BN),REVIEW,https://sample-sanita-49.example.it,REVIEW,,,,,,,,,,,,,
shadow-sanita-campania-050,Campania,NA,[SAMPLE] sanita Campania REVIEW #15 (NA),REVIEW,https://sample-sanita-50.example.it,REVIEW,,,,,,,,,,,,,
shadow-sanita-campania-051,Campania,SA,[SAMPLE] sanita Campania GROUP #1 (SA),GROUP,https://sample-sanita-51.example.it,GROUP,,,,,,,,,,,,,
shadow-sanita-campania-052,Campania,CE,[SAMPLE] sanita Campania GROUP #2 (CE),GROUP,https://sample-sanita-52.example.it,GROUP,,,,,,,,,,,,,
shadow-sanita-campania-053,Campania,AV,[SAMPLE] sanita Campania GROUP #3 (AV),GROUP,https://sample-sanita-53.example.it,GROUP,,,,,,,,,,,,,
shadow-sanita-campania-054,Campania,BN,[SAMPLE] sanita Campania GROUP #4 (BN),GROUP,https://sample-sanita-54.example.it,GROUP,,,,,,,,,,,,,
shadow-sanita-campania-055,Campania,NA,[SAMPLE] sanita Campania GROUP #5 (NA),GROUP,https://sample-sanita-55.example.it,GROUP,,,,,,,,,,,,,
shadow-sanita-campania-056,Campania,SA,[SAMPLE] sanita Campania GROUP #6 (SA),GROUP,https://sample-sanita-56.example.it,GROUP,,,,,,,,,,,,,
shadow-sanita-campania-057,Campania,CE,[SAMPLE] sanita Campania GROUP #7 (CE),GROUP,https://sample-sanita-57.example.it,GROUP,,,,,,,,,,,,,
shadow-sanita-campania-058,Campania,AV,[SAMPLE] sanita Campania GROUP #8 (AV),GROUP,https://sample-sanita-58.example.it,GROUP,,,,,,,,,,,,,
shadow-sanita-campania-059,Campania,BN,[SAMPLE] sanita Campania SINGLE_SITE #1 (BN),SINGLE_SITE,https://sample-sanita-59.example.it,SINGLE_SITE,,,,,,,,,,,,,
shadow-sanita-campania-060,Campania,NA,[SAMPLE] sanita Campania SINGLE_SITE #2 (NA),SINGLE_SITE,https://sample-sanita-60.example.it,SINGLE_SITE,,,,,,,,,,,,,
shadow-sanita-campania-061,Campania,SA,[SAMPLE] sanita Campania SINGLE_SITE #3 (SA),SINGLE_SITE,https://sample-sanita-61.example.it,SINGLE_SITE,,,,,,,,,,,,,
shadow-sanita-campania-062,Campania,CE,[SAMPLE] sanita Campania SINGLE_SITE #4 (CE),SINGLE_SITE,https://sample-sanita-62.example.it,SINGLE_SITE,,,,,,,,,,,,,
shadow-sanita-campania-063,Campania,AV,[SAMPLE] sanita Campania SINGLE_SITE #5 (AV),SINGLE_SITE,https://sample-sanita-63.example.it,SINGLE_SITE,,,,,,,,,,,,,
shadow-sanita-campania-064,Campania,BN,[SAMPLE] sanita Campania SINGLE_SITE #6 (BN),SINGLE_SITE,https://sample-sanita-64.example.it,SINGLE_SITE,,,,,,,,,,,,,
shadow-sanita-campania-065,Campania,NA,[SAMPLE] sanita Campania SINGLE_SITE #7 (NA),SINGLE_SITE,https://sample-sanita-65.example.it,SINGLE_SITE,,,,,,,,,,,,,
