id,region,province,companyName,verdict,website,stratum,reviewer,reviewed_at,entity_correct,official_website_correct,identity_correct,source_correct,verdict_correct,commercial_value_real,false_positive,false_negative,critical_contamination,notes,corrected_value
shadow-sanita-veneto-001,Veneto,VR,[SAMPLE] sanita Veneto HOT #1 (VR),HOT,https://sample-sanita-1.example.it,HOT,,,,,,,,,,,,,
shadow-sanita-veneto-002,Veneto,PD,[SAMPLE] sanita Veneto HOT #2 (PD),HOT,https://sample-sanita-2.example.it,HOT,,,,,,,,,,,,,
shadow-sanita-veneto-003,Veneto,VI,[SAMPLE] sanita Veneto HOT #3 (VI),HOT,https://sample-sanita-3.example.it,HOT,,,,,,,,,,,,,
shadow-sanita-veneto-004,Veneto,TV,[SAMPLE] sanita Veneto HOT #4 (TV),HOT,https://sample-sanita-4.example.it,HOT,,,,,,,,,,,,,
shadow-sanita-veneto-005,Veneto,BL,[SAMPLE] sanita Veneto HOT #5 (BL),HOT,https://sample-sanita-5.example.it,HOT,,,,,,,,,,,,,
shadow-sanita-veneto-006,Veneto,RO,[SAMPLE] sanita Veneto HOT #6 (RO),HOT,https://sample-sanita-6.example.it,HOT,,,,,,,,,,,,,
shadow-sanita-veneto-007,Veneto,VE,[SAMPLE] sanita Veneto HOT #7 (VE),HOT,https://sample-sanita-7.example.it,HOT,,,,,,,,,,,,,
shadow-sanita-veneto-008,Veneto,VR,[SAMPLE] sanita Veneto HOT #8 (VR),HOT,https://sample-sanita-8.example.it,HOT,,,,,,,,,,,,,
shadow-sanita-veneto-009,Veneto,PD,[SAMPLE] sanita Veneto HOT #9 (PD),HOT,https://sample-sanita-9.example.it,HOT,,,,,,,,,,,,,
shadow-sanita-veneto-010,Veneto,VI,[SAMPLE] sanita Veneto HOT #10 (VI),HOT,https://sample-sanita-10.example.it,HOT,,,,,,,,,,,,,
shadow-sanita-veneto-011,Veneto,TV,[SAMPLE] sanita Veneto HOT #11 (TV),HOT,https://sample-sanita-11.example.it,HOT,,,,,,,,,,,,,
shadow-sanita-veneto-012,Veneto,BL,[SAMPLE] sanita Veneto HOT #12 (BL),HOT,https://sample-sanita-12.example.it,HOT,,,,,,,,,,,,,
shadow-sanita-veneto-013,Veneto,RO,[SAMPLE] sanita Veneto HOT #13 (RO),HOT,https://sample-sanita-13.example.it,HOT,,,,,,,,,,,,,
shadow-sanita-veneto-014,Veneto,VE,[SAMPLE] sanita Veneto HOT #14 (VE),HOT,https://sample-sanita-14.example.it,HOT,,,,,,,,,,,,,
shadow-sanita-veneto-015,Veneto,VR,[SAMPLE] sanita Veneto HOT #15 (VR),HOT,https://sample-sanita-15.example.it,HOT,,,,,,,,,,,,,
shadow-sanita-veneto-016,Veneto,PD,[SAMPLE] sanita Veneto HOT #16 (PD),HOT,https://sample-sanita-16.example.it,HOT,,,,,,,,,,,,,
shadow-sanita-veneto-017,Veneto,VI,[SAMPLE] sanita Veneto HOT #17 (VI),HOT,https://sample-sanita-17.example.it,HOT,,,,,,,,,,,,,
shadow-sanita-veneto-018,Veneto,TV,[SAMPLE] sanita Veneto HOT #18 (TV),HOT,https://sample-sanita-18.example.it,HOT,,,,,,,,,,,,,
shadow-sanita-veneto-019,Veneto,BL,[SAMPLE] sanita Veneto HOT #19 (BL),HOT,https://sample-sanita-19.example.it,HOT,,,,,,,,,,,,,
