id,CIG,oggetto,vincitore,regione,stazione_appaltante,data,importo,contract_type,category,tier,score,cauzione,cauzione_tipo,insurance_need_status,origin,region_match_via,motivazione,reviewer,reviewed_at,winner_correct,award_status_correct,amount_correct,commercial_value_real,false_positive,false_negative,notes
cmqi64p6u000w2qzyuhd1qufs,9272640897,PROCEDURA APERTA PER L'AFFIDAMENTO DEL SERVIZIO DI REFEZIONE SCOLASTICA BIOLOGICA E SOSTENIBILE NELLE SCUOLE DEL TERRITORIO COMUNALE - TRIENNIO SCOLASTICO 2022/,CIR FOOD S.C.,Campania,CENTRALE UNICA DI COMMITTENZA DELL'AREA SELE-PICENTINI,,3667537.5,NON_CLASSIFICATO,GARE_MEDIUM,LOW,49,366754,ESTIMATE,WEAKLY_INFERRED,IMMUTABLE_PRODUCTION_SNAPSHOT,buyer_sa,contatti_mancanti;data_assente_recency_zero,,,,,,,,,
cmqi64phy005z2qzyzjua6ccr,9192708E9C,"LAVORI DI SISTEMAZIONE IDROGEOLOGICA E RIPRISTINO FUNZIONALE DELLE SCARPATE, IMPLUVI ED ATTRAVERSAMENTI INSISTENTI SUL VERSANTE NORD DEL TERRITORIO COMUNALE - L",SANNIO.APPALTI S.R.L.,Campania,COMUNE DI SOLOPACA,,590940,LAVORI,GARE_MEDIUM,LOW,41,59094,ESTIMATE,WEAKLY_INFERRED,IMMUTABLE_PRODUCTION_SNAPSHOT,buyer_sa,contatti_mancanti;data_assente_recency_zero,,,,,,,,,
cmqi64p8b001g2qzyr6zfew5r,9396837334,APPALTO IGIENE URBANA PER ANNI TRE,CZETA S.P.A.,Campania,COMUNE DI MIGNANO MONTE LUNGO,,536556,NON_CLASSIFICATO,GARE_MEDIUM,LOW,43,53656,ESTIMATE,WEAKLY_INFERRED,IMMUTABLE_PRODUCTION_SNAPSHOT,buyer_sa,contatti_mancanti;data_assente_recency_zero,,,,,,,,,
cmqi64pbf00302qzy58egmrl1,9340742026,"PROCEDURA APERTA, SOPRA SOGLIA COMUNITARIA, AI SENSI DELL'ART. 60 D.LGS. 50/2016 E SS.MM.II, SUDDIVISA IN 5 LOTTI, CON IL CRITERIO DELL'OFFERTA ECONOMICAMENTE P",CONSORZIO STABILE MEDIL S.C.A.R.L.,Campania,"AGENZIA CAMPANA PER LA MOBILITA', LE INFRASTRUTTURE E LE RETI ACAMIR",,20559027.59,SERVIZI,GARE_MEDIUM,LOW,47,2055903,ESTIMATE,WEAKLY_INFERRED,IMMUTABLE_PRODUCTION_SNAPSHOT,buyer_sa,contatti_mancanti;data_assente_recency_zero,,,,,,,,,
cmqi64pgy005i2qzyfmcvaj3r,9405063782,ACCORDO QUADRO PER LA FORNITURA BIENNALE DI FARMACI BIOSIMILARI PER LE AA.SS. DELLA REGIONE CAMPANIA LOTTO 46 ENOXAPARINA SODICA BIOSIMILARE DITTA ROVI BIOTECH ,ROVI BIOTECH SRL,Campania,AZIENDA SANITARIA LOCALE,,836780.12,FORNITURE,GARE_MEDIUM,LOW,41,83678,ESTIMATE,WEAKLY_INFERRED,IMMUTABLE_PRODUCTION_SNAPSHOT,buyer_sa,contatti_mancanti;data_assente_recency_zero,,,,,,,,,
cmqi64pik00692qzy0nwafju2,9283792B82,"FORNITURA, IN SOMMINISTRAZIONE BIENNALE, DI REAGENTI PER BIOLOGIA MOLECOLARE W0106 (ARCHER) - LOTTO UNICO",DIATECH PHARMACOGENETICS SOCIETA' A RESPONSABILITA' LIMITATA,Campania,IST.NAZ. TUMORI G. PASCALE,,91174.16,MISTO,GARE_LOW,LOW,23,9117,ESTIMATE,WEAKLY_INFERRED,IMMUTABLE_PRODUCTION_SNAPSHOT,buyer_sa,contatti_mancanti;rilevanza_bassa;data_assente_recency_zero,,,,,,,,,
cmqi64pg100542qzy4mqf91sa,9369938D6F,LAVORI DI EFFICIENTAMENTO ENERGETICO AI GRUPPI TERMICI DELL' EDIFICIO SCOLASTICO 'R. VIVIANI' DI VIA ZI' CARLO- CUP J14D22001850006,A.C.M. S.R.L. ASSOCIATI COSTRUTTORI MERIDIONALI,Campania,COMUNE DI CASALNUOVO DI NAPOLI,,89944.3,LAVORI,GARE_LOW,LOW,23,8994,ESTIMATE,WEAKLY_INFERRED,IMMUTABLE_PRODUCTION_SNAPSHOT,buyer_sa,contatti_mancanti;rilevanza_bassa;data_assente_recency_zero,,,,,,,,,
cmqi64ph0005j2qzygr3dez8g,9405111F1C,ACCORDO QUADRO PER LA FORNITURA BIENNALE DI FARMACI BIOSIMILARI PER LE AA.SS. DELLA REGIONE CAMPANIA LOTTO 46 ENOXAPARINA SODICA BIOSIMILARE DITTA TECHDOW PHARM,ROVI BIOTECH SRL,Campania,AZIENDA SANITARIA LOCALE,,476026.4,FORNITURE,GARE_MEDIUM,LOW,41,47603,ESTIMATE,WEAKLY_INFERRED,IMMUTABLE_PRODUCTION_SNAPSHOT,buyer_sa,contatti_mancanti;data_assente_recency_zero,,,,,,,,,
cmqi64po6008v2qzyfsa5z1eb,93121694F5,"PROCEDURA APERTA FORNITURA QUADRIENNALE AGHI, SIRINGHE, AGHI CANNULA E AGHI PER ANESTESIA - DETERMINA D.G. SORESA N. 5 DEL 14/1/2022 - DITTA SMITHS MEDICAL ITAL",SMITHS MEDICAL ITALIA,Campania,AZIENDA SANITARIA LOCALE,,176556,FORNITURE,GARE_LOW,LOW,23,17656,ESTIMATE,WEAKLY_INFERRED,IMMUTABLE_PRODUCTION_SNAPSHOT,buyer_sa,contatti_mancanti;rilevanza_bassa;data_assente_recency_zero,,,,,,,,,
cmqi64pp500992qzyy7dqs6xr,9352388AB8,FORNITURA QUINQUENNALE DI SISTEMI DIAGNOSTICI PER URINE E MATERIALI DI CONSUMO - ADESIONE CONVENZIONE SORESA DITTA MENARINI DIAGNOSTICS LOTTO LU2,A.MENARINI DIAGNOSTICS,Campania,AZIENDA SANITARIA LOCALE,,420064.2,FORNITURE,GARE_LOW,LOW,29,42006,ESTIMATE,WEAKLY_INFERRED,IMMUTABLE_PRODUCTION_SNAPSHOT,buyer_sa,contatti_mancanti;rilevanza_bassa;data_assente_recency_zero,,,,,,,,,
