id,CIG,oggetto,vincitore,regione,stazione_appaltante,data,importo,contract_type,category,tier,score,cauzione,cauzione_tipo,insurance_need_status,origin,region_match_via,motivazione,reviewer,reviewed_at,winner_correct,award_status_correct,amount_correct,commercial_value_real,false_positive,false_negative,notes
ingest-veneto-926960500A,926960500A,"(AFFIDAMENTO DIRETTO AI SENSI ART. 36, COMMA 2, LETT. A, D.LGS. 50/2016, COME DEROGATO DALL'ART. 1, COMMA 2, DEL D.L. 76/2020 E MODIFICATO DALL'ART. 51, COMMA 1",NUOVA GEO.MAC SRL,Veneto,COMUNE DI VITTORIO VENETO,,57520,LAVORI,GARE_LOW,LOW,18,5752,ESTIMATE,WEAKLY_INFERRED,OFFICIAL_SHADOW_INGEST,cap,"Aggiudicazione ANAC 2024 · CIG 926960500A · (AFFIDAMENTO DIRETTO AI SENSI ART. 36, COMMA 2, LETT. A, D.LGS. 50/2016, COME DEROGATO DALL'ART. 1, COMMA 2, DEL D.L. 76/2020 E MODIFICATO DALL'ART. 51, COM",,,,,,,,,
ingest-veneto-9273227CFE,9273227CFE,"LAVORI PER LA REALIZZAZIONE DI 60 METRI DI PONTILI GALLEGGIANTI PER LA PROTEZIONE DAL MOTO ONDOSO, DEL NUOVO PORTO PESCHERECCIO SITO IN LUNGOMARE SAN FELICE NEL",C.I.MO.TER. S.R.L.,Veneto,MINISTERO II.TT. PROVV. INT. OO.PP. VENETO FRIULI TRENTINO,,307576.28,LAVORI,GARE_MEDIUM,LOW,41,30758,ESTIMATE,WEAKLY_INFERRED,OFFICIAL_SHADOW_INGEST,cap,"Aggiudicazione ANAC 2024 · CIG 9273227CFE · LAVORI PER LA REALIZZAZIONE DI 60 METRI DI PONTILI GALLEGGIANTI PER LA PROTEZIONE DAL MOTO ONDOSO, DEL NUOVO PORTO PESCHERECCIO SITO IN LUNGOMARE SAN FELICE",,,,,,,,,
ingest-veneto-92585003E6,92585003E6,"LAVORI DI MIGLIORAMENTO DELLA SICUREZZA STRADALE PER RAGGIUNGERE SITI DI VALENZA PAESAGGISTICA-NATURALISTICA, DI INTERESSE STORICO-ARTISTICO, RELIGIOSO E DI VAL",CASAGRANDE SCAVI SRL,Veneto,COMUNE DI FARRA DI SOLIGO,,73714.27,LAVORI,GARE_LOW,LOW,18,7371,ESTIMATE,WEAKLY_INFERRED,OFFICIAL_SHADOW_INGEST,cap,"Aggiudicazione ANAC 2024 · CIG 92585003E6 · LAVORI DI MIGLIORAMENTO DELLA SICUREZZA STRADALE PER RAGGIUNGERE SITI DI VALENZA PAESAGGISTICA-NATURALISTICA, DI INTERESSE STORICO-ARTISTICO, RELIGIOSO E DI",,,,,,,,,
ingest-veneto-9376604A65,9376604A65,APPALTO 43/2022: LAVORI DI POTENZIAMENTO DEL DEPURATORE DI LIMENA (P669),EDIL ALTA SRL,Veneto,ETRA SPA SOCIETA' BENEFIT,2024-02-05T12:00:00.000Z,9390789.19,LAVORI,GARE_MEDIUM,LOW,47,939079,ESTIMATE,WEAKLY_INFERRED,OFFICIAL_SHADOW_INGEST,cap,Aggiudicazione ANAC 2025 · CIG 9376604A65 · Data aggiudicazione: 2024-02-05 · APPALTO 43/2022: LAVORI DI POTENZIAMENTO DEL DEPURATORE DI LIMENA (P669) · Stazione appaltante: ETRA SPA SOCIETA' BENEFIT ,,,,,,,,,
ingest-veneto-9378229764,9378229764,LAVORI MESSA IN SICUREZZA EDIFICIO PUBBLICO CASERMA,DECOR DESIGNE HT SNC,Veneto,COMUNE DI CASTAGNARO,2025-09-05T12:00:00.000Z,30006,LAVORI,GARE_LOW,LOW,23,3001,ESTIMATE,WEAKLY_INFERRED,OFFICIAL_SHADOW_INGEST,cap,Aggiudicazione ANAC 2023 · CIG 9378229764 · Data aggiudicazione: 2025-09-05 · LAVORI MESSA IN SICUREZZA EDIFICIO PUBBLICO CASERMA · Stazione appaltante: COMUNE DI CASTAGNARO · Importo €30006 · [CONTRA,,,,,,,,,
ingest-veneto-8929736B41,8929736B41,LAVORI DI ASFALTATURA IN VIA CA' ZADRA,RIVIERA STRADE SRL,Veneto,COMUNE DI CHIOGGIA,,40000,LAVORI,GARE_LOW,LOW,18,4000,ESTIMATE,WEAKLY_INFERRED,OFFICIAL_SHADOW_INGEST,cap,Aggiudicazione ANAC 2024 · CIG 8929736B41 · LAVORI DI ASFALTATURA IN VIA CA' ZADRA · Stazione appaltante: COMUNE DI CHIOGGIA · Importo €40000 · [CONTRACT_TYPE:LAVORI] · [ORIGIN:OFFICIAL_SHADOW_INGEST:,,,,,,,,,
ingest-veneto-96792322EE,96792322EE,SERVIZIO PER LA GESTIONE ON-LINE DELLE TRANSAZIONI CORRELATE AI PAGAMENTI DI PEDAGGIO AUTOSTRADALE CON CARTE DI CREDITO,TELEPASS S.P.A.,Veneto,CONCESSIONI AUTOSTRADALI VENETE - CAV S.P.A.,2024-02-28T12:00:00.000Z,341040,SERVIZI,GARE_LOW,LOW,29,34104,ESTIMATE,WEAKLY_INFERRED,OFFICIAL_SHADOW_INGEST,cap,Aggiudicazione ANAC 2024 · CIG 96792322EE · Data aggiudicazione: 2024-02-28 · SERVIZIO PER LA GESTIONE ON-LINE DELLE TRANSAZIONI CORRELATE AI PAGAMENTI DI PEDAGGIO AUTOSTRADALE CON CARTE DI CREDITO · ,,,,,,,,,
ingest-veneto-90103800CD,90103800CD,SCELTA DELL'OPERATORE ECONOMICO CUI CONFERIRE L'AFFIDAMENTO DI SERVIZI TECNICI ASSOCIATI ALLA GESTIONE INFORMATICA DELLE ATTIVITÀ CONNESSE CON LA RACCOLTA DEI R,CENTRO SERVIZI SNC,Veneto,UTILYA S.R.L.,2024-03-16T12:00:00.000Z,143669.67,SERVIZI,GARE_LOW,LOW,23,14367,ESTIMATE,WEAKLY_INFERRED,OFFICIAL_SHADOW_INGEST,cap,Aggiudicazione ANAC 2024 · CIG 90103800CD · Data aggiudicazione: 2024-03-16 · SCELTA DELL'OPERATORE ECONOMICO CUI CONFERIRE L'AFFIDAMENTO DI SERVIZI TECNICI ASSOCIATI ALLA GESTIONE INFORMATICA DELLE A,,,,,,,,,
ingest-veneto-893928642C,893928642C,SERVIZIO DI PROGETTAZIONE DEFINITIVA E ESECUTIVA MIGLIORAMENTO SISMICO E ADEGUAMENTO DEL PRIMO PIANO DELLA CASA ALBERGO SALCE,BS PROGETTI S.R.L.,Veneto,ISTITUTO PER SERVIZI DI RICOVERO E ASSISTENZA AGLI ANZIANI,2024-02-09T12:00:00.000Z,58800,SERVIZI,GARE_LOW,LOW,18,5880,ESTIMATE,WEAKLY_INFERRED,OFFICIAL_SHADOW_INGEST,cap,Aggiudicazione ANAC 2024 · CIG 893928642C · Data aggiudicazione: 2024-02-09 · SERVIZIO DI PROGETTAZIONE DEFINITIVA E ESECUTIVA MIGLIORAMENTO SISMICO E ADEGUAMENTO DEL PRIMO PIANO DELLA CASA ALBERGO SA,,,,,,,,,
ingest-veneto-8776242003,8776242003,"PROCEDURA NEGOZIATA PER LA REALIZZAZIONE DI ASCENSORE, NUOVI SERVIZI IGIENICI E SISTEMAZIONE DEL TETTO PER L'AULA MAGNA DEL COMPLESSO DI INGEGNERIA.",SINERGIE NORDEST SRL,Veneto,UNIVERSITA' DEGLI STUDI DI PADOVA,,213279.91,SERVIZI,GARE_MEDIUM,LOW,35,21328,ESTIMATE,WEAKLY_INFERRED,OFFICIAL_SHADOW_INGEST,cap,"Aggiudicazione ANAC 2023 · CIG 8776242003 · PROCEDURA NEGOZIATA PER LA REALIZZAZIONE DI ASCENSORE, NUOVI SERVIZI IGIENICI E SISTEMAZIONE DEL TETTO PER L'AULA MAGNA DEL COMPLESSO DI INGEGNERIA. · Stazi",,,,,,,,,
