id,struttura,sede,categoria,vecchio_verdict,nuovo_verdict,sito_precedente,sito_nuovo,identity_status,prove_identita,crawl_complete,sitemap_status,pagine_rilevanti,documento,evidenza_testuale,compagnia,numero_polizza,date,temporal_status,motivazione,score,fonti,errori,costo,reviewer,reviewed_at,entity_correct,website_correct,identity_correct,document_belongs_to_entity,verdict_correct,commercial_value_real,false_positive,false_negative,critical_contamination,notes
cmqn0oc2s0007zfo7tgb8ifga,Laboratorio Analisi Cliniche Dr.Ssa Rocco,Baronissi (Campania),Laboratorio medico,HOT,REVIEW,https://www.analisiclinicherocco.com/,https://www.analisiclinicherocco.com/,NOT_CHECKED,Identità sito non verificata (NOT_CHECKED) — impossibile certificare HOT/PUBLISHED.,false,NOT_DISCOVERED,20,,"[SHADOW_HIST_VERDICT:HOT] [V:HOT] Assenza polizza certificata: sito corretto, Trasparenza visitata, tutti i PDF analizzati. Polizza non pubblicata — sito e Trasparenza verificati (re-audit rigoroso). ",,,,,,33,https://www.analisiclinicherocco.com/,,0,,,,,,,,,,,,PRIORITY_REVIEW
cmql4d392000pc9w7usrn62m5,Casa Anziani Cameo ONLUS Aversa Campania- Gruppo Appartamento,San Cipriano d'Aversa (Campania),Assistenza agli anziani,HOT,REVIEW,http://www.coopcameo.it/,http://www.coopcameo.it/,NOT_CHECKED,Identità sito non verificata (NOT_CHECKED) — impossibile certificare HOT/PUBLISHED.,false,NOT_DISCOVERED,48,,"[SHADOW_HIST_VERDICT:HOT] [V:HOT] Assenza polizza certificata: sito corretto, Trasparenza visitata, tutti i PDF analizzati. Polizza non pubblicata — sito e Trasparenza verificati (re-audit rigoroso). ",,,,,,33,http://www.coopcameo.it/,AbortError,0,,,,,,,,,,,,PRIORITY_REVIEW
cmqpb2tgb000682aabzqgrr6p,Villa Nonna Carmelina,Tufino (Campania),Casa di cura,HOT,REVIEW,https://www.villanonnacarmelina.it/,https://www.villanonnacarmelina.it/,NOT_CHECKED,Identità sito non verificata (NOT_CHECKED) — impossibile certificare HOT/PUBLISHED.,false,NOT_DISCOVERED,15,,"[SHADOW_HIST_VERDICT:HOT] [V:HOT] Sito: polizza non pubblicata in Trasparenza. Portali ASL/regionali: confermata assenza pubblicazione. — [FONTI: sito web (15 pagine, sezione Trasparenza letta: /note-",,,,,,25,https://www.villanonnacarmelina.it/,,0,,,,,,,,,,,,PRIORITY_REVIEW
cmqobbuxl003eaa3vum7v9l8v,Dott. Abdur Rahman Mohd Ayed,Grottaminarda (Campania),Clinica di agopuntura,HOT,REVIEW,http://www.studioagopuntura.net/,http://www.studioagopuntura.net/,NOT_CHECKED,Identità sito non verificata (NOT_CHECKED) — impossibile certificare HOT/PUBLISHED.,false,NOT_DISCOVERED,16,,"[SHADOW_HIST_VERDICT:HOT] [V:HOT] Sito: polizza non pubblicata in Trasparenza. Portali ASL/regionali: confermata assenza pubblicazione. — [FONTI: sito web (16 pagine: /, /cart) · PDF polizza letti 0/0",,,,,,33,http://www.studioagopuntura.net/,AbortError,0,,,,,,,,,,,,PRIORITY_REVIEW
cmqp6x5he0005qaqsr0d278sm,Villa Sant'antimo,Recale (Campania),Clinica con attenzione immediata,HOT,REVIEW,https://www.villasantantimo.it/,https://www.villasantantimo.it/,NOT_CHECKED,Identità sito non verificata (NOT_CHECKED) — impossibile certificare HOT/PUBLISHED.,false,NOT_DISCOVERED,15,,"[SHADOW_HIST_VERDICT:HOT] [V:HOT] Sito: polizza non pubblicata in Trasparenza. Portali ASL/regionali: confermata assenza pubblicazione. — [FONTI: sito web (15 pagine, sezione Trasparenza letta: /note-",,,,,,15,https://www.villasantantimo.it/,,0,,,,,,,,,,,,PRIORITY_REVIEW
cmqmano01002n9g5c9h0qjxhl,Villa Fiorita Aversa S.R.L.,Villa Literno (Campania),Clinica medica,HOT,REVIEW,https://clinicavillafiorita.it/,https://clinicavillafiorita.it/,NOT_CHECKED,Identità sito non verificata (NOT_CHECKED) — impossibile certificare HOT/PUBLISHED.,false,NOT_DISCOVERED,25,,"[SHADOW_HIST_VERDICT:HOT] [V:HOT] Assenza polizza certificata: sito corretto, Trasparenza visitata, tutti i PDF analizzati. Polizza non pubblicata — sito e Trasparenza verificati (re-audit rigoroso). ",,,,,,33,https://clinicavillafiorita.it/,,0,,,,,,,,,,,,PRIORITY_REVIEW
cmqp623lx0001129ik68clq1n,Casa di Cura Nostra Signora di Lourdes,Massa di Somma (Campania),casa di cura,HOT,REVIEW,http://www.clinicalourdes.it/,http://www.clinicalourdes.it/,NOT_CHECKED,Identità sito non verificata (NOT_CHECKED) — impossibile certificare HOT/PUBLISHED.,false,NOT_DISCOVERED,170,,"[SHADOW_HIST_VERDICT:HOT] [V:HOT] Sito: polizza non pubblicata in Trasparenza. Portali ASL/regionali: confermata assenza pubblicazione. — [FONTI: sito web (170 pagine, sezione Trasparenza letta: /, /s",,,,,,33,http://www.clinicalourdes.it/,,0,,,,,,,,,,,,PRIORITY_REVIEW
cmqo8aope002qaa3vugvq0qy3,Studio Ultreia,Frattaminore (Campania),Fisioterapista,PUBLISHED,REVIEW,http://www.studioultreia.it/,http://www.studioultreia.it/,NOT_CHECKED,Identità sito non verificata (NOT_CHECKED) — impossibile certificare HOT/PUBLISHED.,false,NOT_DISCOVERED,0,,[SHADOW_HIST_VERDICT:PUBLISHED] [V:PUB] Polizza trovata su portale regionale/ASL; sito web non raggiungibile. [Portale istituzionale: https://www.mimit.gov.it/it/mercato-e-consumatori/tutela-del-consu,,,,,,28,http://www.studioultreia.it/,AbortError,0,,,,,,,,,,,,PRIORITY_REVIEW
cmql4d399000uc9w7yzw2dgac,Casa di Cura 'Andrea Grimaldi',Scala (Campania),Clinica medica,PUBLISHED,REVIEW,http://www.andreagrimaldi.com/,http://www.andreagrimaldi.com/,NOT_CHECKED,Identità sito non verificata (NOT_CHECKED) — impossibile certificare HOT/PUBLISHED.,false,NOT_DISCOVERED,151,,[SHADOW_HIST_VERDICT:PUBLISHED] [V:PUB] Polizza RC certificata da PDF: https://www.andreagrimaldi.com/wp-content/uploads/2026/03/all-ms-6-parm-x-anno-2025-clinica.pdf ni del territorio. La Legge 24/20,Autoassicurazione / gestione diretta del rischio,,,,,33,http://www.andreagrimaldi.com/,,0,,,,,,,,,,,,PRIORITY_REVIEW
cmqm88tu5000ejc3mmdves99n,Genesis Day Surgery Caserta,Riardo (Campania),Clinica medica,PUBLISHED,REVIEW,http://www.iatropolis.it/,http://www.iatropolis.it/,NOT_CHECKED,Identità sito non verificata (NOT_CHECKED) — impossibile certificare HOT/PUBLISHED.,false,NOT_DISCOVERED,2,,[SHADOW_HIST_VERDICT:PUBLISHED] [V:PUB] Polizza RC certificata in sezione Amministrazione Trasparente (HTML). e ai numeri: 0823/325388 - 335/1053833 Assicurazione per la Responsabilità Civile delle St,AmTrust,RCI00010000451,,,,28,http://www.iatropolis.it/,,0,,,,,,,,,,,,PRIORITY_REVIEW
