id,struttura,sede,categoria,vecchio_verdict,nuovo_verdict,sito_precedente,sito_nuovo,identity_status,prove_identita,crawl_complete,sitemap_status,pagine_rilevanti,documento,evidenza_testuale,compagnia,numero_polizza,date,temporal_status,motivazione,score,fonti,errori,costo,reviewer,reviewed_at,entity_correct,website_correct,identity_correct,document_belongs_to_entity,verdict_correct,commercial_value_real,false_positive,false_negative,critical_contamination,notes
cmqpavuzs007d109jxy32i5w3,La clinica del benessere,Garda (Veneto),Centro benessere,HOT,REVIEW,https://laclinicadelbenessere.com/,https://laclinicadelbenessere.com/,NOT_CHECKED,Identità sito non verificata (NOT_CHECKED) — impossibile certificare HOT/PUBLISHED.,false,NOT_DISCOVERED,131,,"[SHADOW_HIST_VERDICT:HOT] [V:HOT] Sito: polizza non pubblicata in Trasparenza. Portali ASL/regionali: confermata assenza pubblicazione. — [FONTI: sito web (131 pagine, sezione Trasparenza letta: /, /a",,,,,,33,https://laclinicadelbenessere.com/,,0,,,,,,,,,,,,PRIORITY_REVIEW
cmqpapjep007a109jpepx2v6s,Centro Medico Antares S.R.L.,Concamarise (Veneto),Ospedale,HOT,REVIEW,https://www.centromedicoantares.it/contatti/,https://www.centromedicoantares.it/contatti/,NOT_CHECKED,Identità sito non verificata (NOT_CHECKED) — impossibile certificare HOT/PUBLISHED.,false,NOT_DISCOVERED,18,,"[SHADOW_HIST_VERDICT:HOT] [V:HOT] Sito: polizza non pubblicata in Trasparenza. Portali ASL/regionali: confermata assenza pubblicazione. — [FONTI: sito web (18 pagine, sezione Trasparenza letta: /ammin",,,,,,25,https://www.centromedicoantares.it/contatti/,,0,,,,,,,,,,,,PRIORITY_REVIEW
cmqpfotfl00br109jsb2cetfr,Centro Medico Diagnostico - Diagnostica 53 srl,Meduna di Livenza (Veneto),Centro medico,HOT,REVIEW,http://www.diagnostica53.it/,http://www.diagnostica53.it/,NOT_CHECKED,Identità sito non verificata (NOT_CHECKED) — impossibile certificare HOT/PUBLISHED.,false,NOT_DISCOVERED,98,,"[SHADOW_HIST_VERDICT:HOT] [V:HOT] Sito: polizza non pubblicata in Trasparenza. Portali ASL/regionali: confermata assenza pubblicazione. — [FONTI: sito web (98 pagine, sezione Trasparenza letta: /, /mo",,,,,,33,http://www.diagnostica53.it/,,0,,,,,,,,,,,,PRIORITY_REVIEW
cmqpqg5c400iw109jv3q9enqb,Casa di Cura Madonna della Salute,Porto Viro (Veneto),Clinica medica,HOT,REVIEW,https://www.casadicuraportoviro.it/,https://www.casadicuraportoviro.it/,NOT_CHECKED,Identità sito non verificata (NOT_CHECKED) — impossibile certificare HOT/PUBLISHED.,false,NOT_DISCOVERED,163,,"[SHADOW_HIST_VERDICT:HOT] [V:HOT] Sito: polizza non pubblicata in Trasparenza. Portali ASL/regionali: confermata assenza pubblicazione. — [FONTI: sito web (163 pagine: /, /qualita) · fonte polizza HTM",,,,,,33,https://www.casadicuraportoviro.it/,,0,,,,,,,,,,,,PRIORITY_REVIEW
cmqpkikci00fc109j604w0twf,Casa di Cura Villa Serena,Palermo (Veneto),Casa di cura,HOT,REVIEW,http://www.casadicuraserena.it/,http://www.casadicuraserena.it/,NOT_CHECKED,Identità sito non verificata (NOT_CHECKED) — impossibile certificare HOT/PUBLISHED.,false,NOT_DISCOVERED,110,,"[SHADOW_HIST_VERDICT:HOT] [V:HOT] Sito: polizza non pubblicata in Trasparenza. Portali ASL/regionali: confermata assenza pubblicazione. — [FONTI: sito web (110 pagine, sezione Trasparenza letta: /, /a",,,,,,33,http://www.casadicuraserena.it/,,0,,,,,,,,,,,,PRIORITY_REVIEW
cmqppu1mp00iq109j9otzmtrv,San Raffaele Trevignano - Residenza Sanitaria Assistenziale,Trevignano (Veneto),Ospedale,HOT,REVIEW,https://sanraffaele.it/strutture/san-raffaele-trevignano/,https://sanraffaele.it/strutture/san-raffaele-trevignano/,NOT_CHECKED,Identità sito non verificata (NOT_CHECKED) — impossibile certificare HOT/PUBLISHED.,false,NOT_DISCOVERED,235,,"[SHADOW_HIST_VERDICT:HOT] [V:HOT] Sito: polizza non pubblicata in Trasparenza. Portali ASL/regionali: confermata assenza pubblicazione. — [FONTI: sito web (235 pagine, sezione Trasparenza letta: /stru",,,,,,33,https://sanraffaele.it/strutture/san-raffaele-trevignano/,,0,,,,,,,,,,,,PRIORITY_REVIEW
cmqpcm3um0090109jzu9xg1gq,Poliambulatorio Ecomedico Tomasella,Tombolo (Veneto),Centro medico,HOT,REVIEW,http://www.ecomedicotomasella.com/,http://www.ecomedicotomasella.com/,NOT_CHECKED,Identità sito non verificata (NOT_CHECKED) — impossibile certificare HOT/PUBLISHED.,false,NOT_DISCOVERED,78,,"[SHADOW_HIST_VERDICT:HOT] [V:HOT] Sito: polizza non pubblicata in Trasparenza. Portali ASL/regionali: confermata assenza pubblicazione. — [FONTI: sito web (78 pagine, sezione Trasparenza letta: /, /) ",,,,,,33,http://www.ecomedicotomasella.com/,AbortError,0,,,,,,,,,,,,PRIORITY_REVIEW
cmqpetmyq00aw109jbzulaaqo,Rsa Don Loria,Oppido Mamertina (Veneto),Ospedale,PUBLISHED,REVIEW,https://www.loria.it/,https://www.loria.it/,NOT_CHECKED,Identità sito non verificata (NOT_CHECKED) — impossibile certificare HOT/PUBLISHED.,false,NOT_DISCOVERED,0,,[SHADOW_HIST_VERDICT:PUBLISHED] [V:PUB] Polizza trovata su portale regionale/ASL; sito web non raggiungibile. [Portale istituzionale: https://www.chiarini.com/assicurazione-struttura-sanitaria-medico-,,,,,,28,https://www.loria.it/,AbortError,0,,,,,,,,,,,,PRIORITY_REVIEW
cmqpgf39300db109ju8060ufy,Poliambulatorio Ss. Trinità - Sede di Malo,Schio (Veneto),Centro medico,PUBLISHED,REVIEW,http://www.poliambulatorioschio.it/,http://www.poliambulatorioschio.it/,NOT_CHECKED,Identità sito non verificata (NOT_CHECKED) — impossibile certificare HOT/PUBLISHED.,false,NOT_DISCOVERED,152,,[SHADOW_HIST_VERDICT:PUBLISHED] [V:PUB] Riferimenti assicurativi su pagina web ma PDF polizza RC non individuato — verifica manuale. nali); in ambito assicurativo privato (es. danni coperti da polizza,Generali,,2026-02-28T00:00:00.000Z,,,33,http://www.poliambulatorioschio.it/,,0,,,,,,,,,,,,PRIORITY_REVIEW
cmqphtshy00dq109j9x72fjeo,Policlinico Abano,Montegrotto Terme (Veneto),Policlinico,PUBLISHED,REVIEW,https://policlinicoabano.it/,https://policlinicoabano.it/,NOT_CHECKED,Identità sito non verificata (NOT_CHECKED) — impossibile certificare HOT/PUBLISHED.,false,NOT_DISCOVERED,127,,[SHADOW_HIST_VERDICT:PUBLISHED] [V:PUB] Polizza RC certificata in sezione Amministrazione Trasparente (HTML). tà professionale degli esercenti le professioni sanitarie”. Polizza in vigore per la Respo,AmTrust,RCH00020000277,,,,33,https://policlinicoabano.it/,,0,,,,,,,,,,,,PRIORITY_REVIEW
cmqpnlxik00hd109jnewbykj4,Centro Diagnostico Terapeutico Sacro Cuore,Pressana (Veneto),Centro medico,PUBLISHED,REVIEW,https://www.sacrocuore.it/centro-servizi-diagnosi-e-cura-verona/centro-diagnostico-terapeutico-sacro-cuore/,https://www.sacrocuore.it/centro-servizi-diagnosi-e-cura-verona/centro-diagnostico-terapeutico-sacro-cuore/,NOT_CHECKED,Identità sito non verificata (NOT_CHECKED) — impossibile certificare HOT/PUBLISHED.,false,NOT_DISCOVERED,56,,[SHADOW_HIST_VERDICT:PUBLISHED] [V:PUB] Polizza RC certificata in sezione Amministrazione Trasparente (HTML). 2021-2025 Sicurezza del paziente Relazione-ev-avversi-Legge-Gelli-2022-1 Relazione-ev-avve,Cattolica,,,,,33,https://www.sacrocuore.it/centro-servizi-diagnosi-e-cura-verona/centro-diagnostico-terapeutico-sacro-cuore/,AbortError,0,,,,,,,,,,,,PRIORITY_REVIEW
cmqp5mr2k003u109j51bn559d,Ambulatorio Medico Dottoressa Francesca Rigo,Castegnero (Veneto),Medico,REVIEW,REVIEW,,,NOT_CHECKED,Identità sito non verificata (NOT_CHECKED) — impossibile certificare HOT/PUBLISHED.,false,NOT_PRESENT,0,,[SHADOW_HIST_VERDICT:REVIEW] [V:REV] Sito ufficiale non individuato automaticamente — impossibile certificare assenza polizza. Verifica manuale obbligatoria (es. Google). Ricerca su portali regionali/,,,,,,15,,no_url,0,,,,,,,,,,,,PRIORITY_REVIEW
cmqp2cnd0002o109jvy3o0bsz,Dott. Michele De Mario - Fisioterapista,Auronzo di Cadore (Veneto),Fisioterapista,REVIEW,REVIEW,,,NOT_CHECKED,Identità sito non verificata (NOT_CHECKED) — impossibile certificare HOT/PUBLISHED.,false,NOT_PRESENT,0,,[SHADOW_HIST_VERDICT:REVIEW] [V:REV] Sito ufficiale non individuato automaticamente — impossibile certificare assenza polizza. Verifica manuale obbligatoria (es. Google). Ricerca su portali regionali/,,,,,,15,,no_url,0,,,,,,,,,,,,PRIORITY_REVIEW
cmqp7256u004n109jl3j6bzmg,Dott.ssa Elisa Berto,Cavarzere (Veneto),Clinica dentale,REVIEW,REVIEW,,,NOT_CHECKED,Identità sito non verificata (NOT_CHECKED) — impossibile certificare HOT/PUBLISHED.,false,NOT_PRESENT,0,,[SHADOW_HIST_VERDICT:REVIEW] [V:REV] Sito ufficiale non individuato automaticamente — impossibile certificare assenza polizza. Verifica manuale obbligatoria (es. Google). Ricerca su portali regionali/,,,,,,15,,no_url,0,,,,,,,,,,,,PRIORITY_REVIEW
cmqpkikcp00fh109jwxk74w4s,"Casa di Cura ""Candela""",Nove (Veneto),Clinica medica,REVIEW,REVIEW,http://www.clinicacandela.it/,http://www.clinicacandela.it/,NOT_CHECKED,Identità sito non verificata (NOT_CHECKED) — impossibile certificare HOT/PUBLISHED.,false,NOT_DISCOVERED,33,,[SHADOW_HIST_VERDICT:REVIEW] [V:REV] PDF polizza su dominio diverso (irp.cdn-website.com ≠ clinicacandela.it) — polizza non attribuibile al sito della struttura. i Palermo La Casa di Cura Candela S.p.,,,,,,33,http://www.clinicacandela.it/,,0,,,,,,,,,,,,PRIORITY_REVIEW
cmqpp200500ig109jijxh3xeh,Data Clinica Laboratorio Analisi e Poliambulatorio,Torri di Quartesolo (Veneto),Centro medico,HOT,REVIEW,http://www.dataclinica.it/,http://www.dataclinica.it/,NOT_CHECKED,Identità sito non verificata (NOT_CHECKED) — impossibile certificare HOT/PUBLISHED.,false,NOT_DISCOVERED,54,,"[SHADOW_HIST_VERDICT:HOT] [V:HOT] Sito: polizza non pubblicata in Trasparenza. Portali ASL/regionali: confermata assenza pubblicazione. — [FONTI: sito web (54 pagine, sezione Trasparenza letta: /, /ar",,,,,,25,http://www.dataclinica.it/,,0,,,,,,,,,,,,PRIORITY_REVIEW
cmqpfotfm00bs109ju3gahj10,Casa di Cura San Giorgio,Meduna di Livenza (Veneto),Casa di cura,HOT,REVIEW,https://www.clinicasangiorgio.it/,https://www.clinicasangiorgio.it/,NOT_CHECKED,Identità sito non verificata (NOT_CHECKED) — impossibile certificare HOT/PUBLISHED.,false,NOT_DISCOVERED,70,,"[SHADOW_HIST_VERDICT:HOT] [V:HOT] Sito: polizza non pubblicata in Trasparenza. Portali ASL/regionali: confermata assenza pubblicazione. — [FONTI: sito web (70 pagine: /, /professionisti.asp) · fonte p",,,,,,33,https://www.clinicasangiorgio.it/,,0,,,,,,,,,,,,PRIORITY_REVIEW
cmqpcy936009c109jyhbeg6v3,Centro Medico Igea,Bressanvido (Veneto),Centro medico pubblico,HOT,REVIEW,http://www.cmigea.it/,http://www.cmigea.it/,NOT_CHECKED,Identità sito non verificata (NOT_CHECKED) — impossibile certificare HOT/PUBLISHED.,false,NOT_DISCOVERED,164,,"[SHADOW_HIST_VERDICT:HOT] [V:HOT] Sito: polizza non pubblicata in Trasparenza. Portali ASL/regionali: confermata assenza pubblicazione. — [FONTI: sito web (164 pagine, sezione Trasparenza letta: /, /)",,,,,,33,http://www.cmigea.it/,AbortError,0,,,,,,,,,,,,PRIORITY_REVIEW
