id,region,province_or_city,companyName,website,old_verdict,new_status,leadScore,stratum,reviewer,reviewed_at,entity_correct,official_website_correct,identity_correct,source_correct,verdict_correct,commercial_value_real,false_positive,false_negative,critical_contamination,notes,corrected_value
cmqtf1vaf0000kpvxhihq5n1j,Campania,BENEVENTO,SIEMENS HEALTHCARE S.R.L.,https://www.siemens.com/it/it.html?stc=wwsi122500,GARE_HIGH,SHADOW_UNVERIFIED,85,HIGH,,,,,,,,,,,,,
cmqi64po0008s2qzym2rztd7m,Campania,SALERNO,ZURICH INSURANCE PLC,,GARE_HIGH,SHADOW_UNVERIFIED,80,HIGH,,,,,,,,,,,,,
cmqi64pbr00362qzyzbmvatwf,Campania,NAPOLI,ASSITECA SPA,,GARE_HIGH,SHADOW_UNVERIFIED,70,HIGH,,,,,,,,,,,,,
cmqi64pgu005g2qzy50sx84j8,Campania,NAPOLI,SOCIETÀ COOPERATIVA LA SCUOLA OPEN SOURCE,,GARE_HIGH,SHADOW_UNVERIFIED,70,HIGH,,,,,,,,,,,,,
cmqi64pot00942qzycy7w540s,Campania,SALERNO,RAYS S.P.A.,,GARE_HIGH,SHADOW_UNVERIFIED,70,HIGH,,,,,,,,,,,,,
cmqi64pol00912qzy9ql227kk,Campania,SALERNO,NACATUR INTERNATIONAL IMPORT EXPORT S.R.L. A S.U.,,GARE_HIGH,SHADOW_UNVERIFIED,70,HIGH,,,,,,,,,,,,,
cmqi64p5v000g2qzy7p62nf8z,Campania,NAPOLI,ALSCO ITALIA SRL,http://www.alsco.it/,GARE_MEDIUM,SHADOW_UNVERIFIED,65,HIGH,,,,,,,,,,,,,
cmqi64p7n00172qzy0hb2iu4z,Campania,CASALNUOVO DI NAPOLI,ARCHIVOLTO S.R.L.,http://archivoltosrl.it/,GARE_MEDIUM,SHADOW_UNVERIFIED,65,HIGH,,,,,,,,,,,,,
cmqi64p92001t2qzyqvztesvs,Campania,NAPOLI,R.C.M. COSTRUZIONI,,GARE_MEDIUM,SHADOW_UNVERIFIED,65,HIGH,,,,,,,,,,,,,
cmqi64p8q001o2qzy0lfakqf3,Campania,ERCOLANO,EDIL ALTA S.R.L.,,GARE_MEDIUM,SHADOW_UNVERIFIED,65,HIGH,,,,,,,,,,,,,
cmqi64p9p00242qzy0g4zhmht,Campania,CASTELLAMMARE DI STABIA,GLM RISTORAZIONE SRL,,GARE_MEDIUM,SHADOW_UNVERIFIED,65,HIGH,,,,,,,,,,,,,
cmqi64pa1002a2qzyqu8n8ayv,Campania,NAPOLI,FRATELLI GENTILE F & R SRL,,GARE_MEDIUM,SHADOW_UNVERIFIED,65,HIGH,,,,,,,,,,,,,
cmqi64pbg00312qzyjgdbpzi2,Campania,NAPOLI,09109161217,,GARE_MEDIUM,SHADOW_UNVERIFIED,65,HIGH,,,,,,,,,,,,,
cmqi64pit006d2qzyxv2hbghx,Campania,CASERTA,CONSORZIO STABILE MEDIL S.C.A.R.L.,,GARE_MEDIUM,SHADOW_UNVERIFIED,65,HIGH,,,,,,,,,,,,,
cmqi64pns008o2qzyic4rrw8d,Campania,FISCIANO,EDIL-G.F. DI GRANATA FRANCESCO,,GARE_MEDIUM,SHADOW_UNVERIFIED,65,HIGH,,,,,,,,,,,,,
cmqi64ppb009b2qzyxqmcp4kf,Campania,NAPOLI,ALMAWAVE S.P.A.,,GARE_MEDIUM,SHADOW_UNVERIFIED,65,HIGH,,,,,,,,,,,,,
cmqtf1ve7001hkpvxmnbdn627,Campania,NOLA,SERVECO SRL,https://www.servecosrl.com/,GARE_MEDIUM,SHADOW_UNVERIFIED,65,HIGH,,,,,,,,,,,,,
