id,region,province_or_city,companyName,website,old_verdict,new_status,leadScore,stratum,reviewer,reviewed_at,entity_correct,official_website_correct,identity_correct,source_correct,verdict_correct,commercial_value_real,false_positive,false_negative,critical_contamination,notes,corrected_value
cmqpkikcu00fk109jaj6qr7t3,Veneto,Nove,Casa Di Cura Macchiarella S.p.A.,https://www.casadicuramacchiarella.it/,HOT,RESCAN_REQUIRED,100,HOT,,,,,,,,,,,,,
cmqp1h9s8001z109j491rfo53,Veneto,Sarcedo,Casa Di Riposo Serse Panizzoni,https://www.sersepanizzoni.it/,HOT,RESCAN_REQUIRED,95,HOT,,,,,,,,,,,,,
cmqp1dien001x109jvgbem0iv,Veneto,Pressana,Policologna srl Poliambulatorio medico privato Centro di medicina estetica,https://www.policologna.it/,HOT,RESCAN_REQUIRED,95,HOT,,,,,,,,,,,,,
cmqp5uwfw0045109jh8adikx2,Veneto,Torreglia,PrimaMedica - Poliambulatorio Padova,https://primamedica.it/,HOT,RESCAN_REQUIRED,95,HOT,,,,,,,,,,,,,
cmqp8ha77005u109jp02p83fp,Veneto,Castel d'Azzano,Center Terapy - Medicina Fisica e Riabilitazione,https://www.centerterapy.it/,HOT,RESCAN_REQUIRED,95,HOT,,,,,,,,,,,,,
cmqpam4js0077109ji9dpurnl,Veneto,Monteforte d'Alpone,Centro Medico Promed,https://www.centromedicopromed.it/,HOT,RESCAN_REQUIRED,95,HOT,,,,,,,,,,,,,
cmqpavuzw007f109jkpmpwt82,Veneto,Garda,Clinica Pederzoli,https://www.ospedalepederzoli.it/,HOT,RESCAN_REQUIRED,95,HOT,,,,,,,,,,,,,
cmqpavuzs007d109jxy32i5w3,Veneto,Garda,La clinica del benessere,https://laclinicadelbenessere.com/,HOT,RESCAN_REQUIRED,95,HOT,,,,,,,,,,,,,
cmqpcy93o009l109joiwclv4v,Veneto,Gambugliano,Omniamed - Centro medico e Poliambulatorio specialistico a Dueville (Vicenza),https://www.centro-medico-poliambulatorio-omniamed.it/,HOT,RESCAN_REQUIRED,95,HOT,,,,,,,,,,,,,
cmqpdrq6q00ae109j67i7mn05,Veneto,Rovigo,Emme Salute,https://emmesalute.it/,HOT,RESCAN_REQUIRED,95,HOT,,,,,,,,,,,,,
cmqpfotfm00bs109ju3gahj10,Veneto,Meduna di Livenza,Casa di Cura San Giorgio,https://www.clinicasangiorgio.it/,HOT,RESCAN_REQUIRED,95,HOT,,,,,,,,,,,,,
cmqpfrc1x00c0109jifmevo4i,Veneto,Melara,Poliambulatorio Cerea,https://www.poliambulatoriocerea.it/,HOT,RESCAN_REQUIRED,95,HOT,,,,,,,,,,,,,
cmqpfyypp00cq109jdgle196i,Veneto,Mezzane di Sotto,Poliambulatorio New Life,https://www.newlifeambulatori.com/,HOT,RESCAN_REQUIRED,95,HOT,,,,,,,,,,,,,
cmqpiyr8p00ei109jdltdbue5,Veneto,Mozzecane,Centro Medico San Francesco,https://www.cemedsanfrancesco.it/,HOT,RESCAN_REQUIRED,95,HOT,,,,,,,,,,,,,
cmqpjqlls00ev109j28m4c19n,Veneto,Noale,Poliambulatorio Noalese di Emolab Due,https://emolabdue.it/poliambulatorio-noalese/,HOT,RESCAN_REQUIRED,95,HOT,,,,,,,,,,,,,
cmqpnlxir00hf109j2vhldwiw,Veneto,Pressana,Poliambulatorio Medico e Fisioterapico San Zeno,https://www.studiofisioterapicosanzeno.it/,HOT,RESCAN_REQUIRED,95,HOT,,,,,,,,,,,,,
cmqpd1ilt009q109jn2qsehse,Veneto,Stienta,Centro Medico Tassina,https://centromedicotassina.it/,HOT,RESCAN_REQUIRED,95,HOT,,,,,,,,,,,,,
cmqpqgkhb00j0109jqsz5qm2y,Veneto,Treviso,Ospedale San Camillo di Treviso,https://treviso.figliedisancamillo.it/,HOT,RESCAN_REQUIRED,95,HOT,,,,,,,,,,,,,
cmqpqt2xw00j5109jrxb2mmnn,Veneto,Susegana,Centro Medico Crevada,https://centromedicocrevada.it/,HOT,RESCAN_REQUIRED,95,HOT,,,,,,,,,,,,,
cmqp3eo2m0031109j4kugi1zn,Veneto,Boschi Sant'Anna,Casa Di Cura Villa S. Anna,http://www.villasanna.it/,HOT,RESCAN_REQUIRED,95,HOT,,,,,,,,,,,,,
cmqpkikcm00ff109j1ckm8tb8,Veneto,Nove,Villa Mafalda,http://www.villamafalda.com/,HOT,RESCAN_REQUIRED,95,HOT,,,,,,,,,,,,,
cmqpavuzy007g109jmjmthhgh,Veneto,Costermano sul Garda,Casa Di Cura Villa Gemma,http://www.villagemma.it/,HOT,RESCAN_REQUIRED,95,HOT,,,,,,,,,,,,,
cmqpkikcj00fd109jwc4iyu1e,Veneto,Nove,Villa Fulvia,http://www.villafulvia.it/,HOT,RESCAN_REQUIRED,95,HOT,,,,,,,,,,,,,
cmqpkik6v00f3109j1mlzl94g,Veneto,Sant'Ambrogio di Valpolicella,Poliambulatorio Silca,http://www.silca-srl.it/,HOT,RESCAN_REQUIRED,95,HOT,,,,,,,,,,,,,
cmqpcpp7n0099109j7gvt965b,Veneto,Montorso Vicentino,Centro Medico Salute e Benessere,http://www.salutebenessere.vi.it/,HOT,RESCAN_REQUIRED,95,HOT,,,,,,,,,,,,,
cmqpma8pc00gr109ja1sl8xsi,Veneto,Silea,Salus Veneto Srl - Poliambulatorio Medico,http://www.salusveneto.it/,HOT,RESCAN_REQUIRED,95,HOT,,,,,,,,,,,,,
cmqpnlxim00he109j4zgdqudj,Veneto,Pressana,Poliambulatorio Specialistico Verona,http://www.polispecialisticoverona.it/,HOT,RESCAN_REQUIRED,95,HOT,,,,,,,,,,,,,
cmqpj9pta00ep109j78zu3zma,Veneto,San Michele al Tagliamento,Polismedica Poliambulatorio Specialistico,http://www.polismedica.it/,HOT,RESCAN_REQUIRED,95,HOT,,,,,,,,,,,,,
cmqpdjily00a1109jovsezyla,Veneto,Noventa Padovana,Poliambulatorio San Camillo,http://www.polisancamillo.it/,HOT,RESCAN_REQUIRED,95,HOT,,,,,,,,,,,,,
cmqp7okdi005a109je0ik42ae,Veneto,Chioggia,Poliambulatorio Vespucci Srl,http://www.poliambulatoriovespucci.it/,HOT,RESCAN_REQUIRED,95,HOT,,,,,,,,,,,,,
cmqp1didw001o109jwz6o80it,Veneto,Castegnero,B - Clinic srl - poliambulatorio medico,http://www.poliambulatoriobclinic.it/,HOT,RESCAN_REQUIRED,95,HOT,,,,,,,,,,,,,
